"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","kmeans","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ortholog","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","X_Code"
"3.1370262390670556","0.0","0.3187732342007435","0.0","1",,"6","false","Cluster 5","","Unclustered","0.0","TpnC47D","40.0","0","1","Human","0","0.9729490349485183","false","0","TpnC47D","0","0.0",""
"2.4693877551020407","0.005624287963753264","0.40495867768595045","0.5346901017576319","47","47","5","false","","Cluster 2","Clustered","20.229885057471265","Ipo9","40.91489361702128","0","47",,"0","0.9814001549987083","false","0","Ipo9","12592","0.25895502289253974",""
"2.478134110787172","0.0019843635745680085","0.40352941176470586","0.7056451612903226","32","32","5","false","","Cluster 2","Clustered","17.606666666666666","Rab2","45.84375","0","32","Human","0","0.9812894416356055","false","0","Rab2","4464","0.27451347305389223",""
"2.9183673469387754","0.0","0.34265734265734266","1.0","7","7","5","false","","Cluster 5","Clustered","7.0","UQCR-14","23.857142857142858","0","7","Human","0","0.9757168690260914","false","0","UQCR-14","0","0.231622746185853",""
"2.8746355685131197","0.006404460953713944","0.3478701825557809","0.13333333333333333","6",,"5","false","Cluster 5","","Unclustered","1.6666666666666667","Tm1","19.833333333333332","0","6","Human","0","0.9762704358416061","false","0","Tm1","4526","0.24166666666666667","Male"
"2.454810495626822","0.006151313789438036","0.40736342042755347","0.6979591836734694","50","50","5","false","","Cluster 1","Clustered","29.00900900900901","Df31","41.54","0","50",,"0","0.9815846772705467","false","0","Df31","17496","0.26125786163522013",""
"2.8950437317784257","0.004096089627662468","0.34541792547834843","0.23809523809523808","7",,"5","false","","","Unclustered","3.0","Wwox","28.571428571428573","0","7","Human","0","0.9760121046610325","false","0","Wwox","5516","0.2814710042432815",""
"2.507288629737609","0.009681372234238738","0.39883720930232563","0.3353846153846154","26",,"5","false","","","Unclustered","6.75","S6k","34.53846153846154","0","26","Human","0","0.9809203970919289","false","0","S6k","15118","0.19849690539345713",""
"2.3352769679300294","0.007316365523693912","0.42821473158551804","0.685374149659864","49","49","5","false","","Cluster 1","Clustered","29.00900900900901","Pdi","42.6530612244898","0","49","Human","0","0.9830977598996199","false","0","Pdi","15954","0.22100031722533572","Male"
"2.685131195335277","0.0010824475274222541","0.3724212812160695","0.7748917748917749","22","22","5","false","","Cluster 3","Clustered","12.526315789473685","Yp2","30.454545454545453","0","22","Human","0","0.9786692253755028","false","0","Yp2","2972","0.23792613636363635",""
"2.760932944606414","4.3012595209510505E-5","0.36219640971488914","0.9420289855072463","24",,"5","false","","","Unclustered","19.913419913419915","Trxr1","46.833333333333336","0","24","Human","0","0.9777097095619441","false","0","Trxr1","258","0.477891156462585",""
"2.825072886297376","3.523627004964961E-4","0.3539731682146543","0.6794871794871795","13",,"5","false","Cluster 5","","Unclustered","8.0","TpnC4","33.92307692307692","0","13","Human","0","0.976897811565856","false","0","TpnC4","742","0.34615384615384615","Female"
"2.690962099125364","2.4291304528856889E-4","0.371614301191766","0.8260869565217391","23","23","5","false","Cluster 5","Cluster 2","Clustered","17.905263157894737","TpnC41C","37.04347826086956","0","23","Human","0","0.9785954164667676","false","0","TpnC41C","698","0.29873772791023845",""
"2.5714285714285716","0.003485151161295398","0.38888888888888884","0.5471014492753623","24","24","5","false","","Cluster 2","Clustered","13.0","GstS1","33.75","0","24","Human","0","0.9801084990958409","false","0","GstS1","6064","0.20833333333333334","Female"
"2.7755102040816326","3.386340036864006E-4","0.3602941176470588","0.7142857142857143","21","21","5","false","","Cluster 4","Clustered","11.399999999999999","Surf4","42.23809523809524","0","21","Human","0","0.977525187290106","false","0","Surf4","1614","0.3274270948689553",""
"2.941690962099125","0.0","0.3399405351833499","1.0","11","11","5","false","","Cluster 4","Clustered","11.0","Cpr78E","24.636363636363637","0","11",,"0","0.9754216333911503","false","0","Cpr78E","0","0.2968236582694414",""
