"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","Kmeans","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ortholog","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","X_Code"
"1.8","0.0","0.5555555555555556","0.0","1",,"2","false","Cluster 2","","Unclustered","0.0","Hsp70Ab","5.0","0","1","Human","0","0.8400000000000001","false","0","Hsp70Ab","0","0.0",""
"1.8","0.0","0.5555555555555556","0.0","1",,"2","false","Cluster 2","","Unclustered","0.0","PGRP-LF","5.0","0","1","Human","0","0.8400000000000001","false","0","PGRP-LF","0","0.0",""
"2.3846153846153846","0.0","0.41935483870967744","1.0","2",,"4","false","Cluster 2","","Unclustered","2.0","Tsf1","5.0","0","2","Human","0","0.7692307692307692","false","0","Tsf1","0","0.625",""
"1.8","0.0","0.5555555555555556","0.0","1",,"2","false","Cluster 2","","Unclustered","0.0","geminin","5.0","0","1","Human","0","0.8400000000000001","false","0","geminin","0","0.0","Male"
"1.8","0.0","0.5555555555555556","0.0","1",,"2","false","Cluster 2","","Unclustered","0.0","betaTub60D","5.0","0","1","Human","0","0.8400000000000001","false","0","betaTub60D","0","0.0","Male"
"3.0","0.0","0.3333333333333333","1.0","2","2","5","false","Cluster 2","Cluster 3","Seed","2.0","Cyp6a13","3.5","0","2","Human","0","0.6666666666666666","false","0","Cyp6a13","0","0.7",""
"1.8","0.0","0.5555555555555556","0.0","1",,"2","false","Cluster 2","","Unclustered","0.0","CG31955","5.0","0","1",,"0","0.8400000000000001","false","0","CG31955","0","0.0",""
"3.230769230769231","0.0","0.30952380952380953","0.0","1",,"5","false","Cluster 2","","Unclustered","0.0","scaf","4.0","0","1",,"0","0.6282051282051282","false","0","scaf","0","0.0",""
"2.9285714285714284","0.0","0.34146341463414637","0.0","1",,"4","false","Cluster 2","","Unclustered","0.0","Idgf5","4.0","0","1","Human","0","0.6142857142857143","false","0","Idgf5","0","0.0","Female"
"2.1538461538461537","0.41025641025641024","0.4642857142857143","0.2","5","5","4","false","","Cluster 3","Clustered","1.2","Fer1HCH","2.4","0","5","Human","0","0.8076923076923078","false","0","Fer1HCH","64","0.3142857142857143",""
