"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","Kmeans","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ortholog","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","X_Code"
"2.868","0.010206769565438307","0.3486750348675035","0.25757575757575757","12","12","6","false","","Cluster 3","Clustered","3.4285714285714284","rl","12.25","0","12","Human","0","0.9508421052631578","false","0","rl","4124","0.1529535864978903",""
"5.676","0.0","0.17618040873854826","0.0","1",,"8","false","Cluster 3","","Unclustered","0.0","Ekar","3.0","0","1","Human","0","0.8769473684210526","false","0","Ekar","0","0.0",""
"3.484","2.6212930962221057E-4","0.2870264064293915","0.0","2",,"6","false","Cluster 3","","Unclustered","0.6666666666666666","eas","14.0","0","2","Human","0","0.9346315789473684","false","0","eas","78","0.5",""
"3.136","0.001360142690044357","0.31887755102040816","0.16666666666666666","4",,"5","false","Cluster 3","","Unclustered","2.0","Ide","15.75","0","4","Human","0","0.9437894736842104","false","0","Ide","590","0.305",""
"2.536","0.059545456919116","0.3943217665615142","0.20833333333333334","16","16","5","false","","Cluster 5","Clustered","5.0","Rab11","19.5625","0","16","Human","0","0.959578947368421","false","0","Rab11","32874","0.15725806451612903",""
"4.036","0.0","0.24777006937561946","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","CG3036","10.0","0","1","Human","0","0.9201052631578946","false","0","CG3036","0","0.0",""
"3.556","9.152269757217604E-5","0.281214848143982","0.9583333333333334","16","16","6","false","","Cluster 1","Seed","14.0","PPO1","19.75","0","16",,"0","0.9327368421052632","false","0","PPO1","212","0.6370967741935484",""
"3.304","0.00441471177301941","0.3026634382566586","0.4","5","5","6","false","Cluster 3","Cluster 6","Clustered","3.0","igl","11.4","0","5","Human","0","0.9393684210526315","false","0","igl","1284","0.26666666666666666",""
"3.076","9.508663350425356E-4","0.3250975292587776","0.6","6","6","5","false","Cluster 3","Cluster 2","Seed","4.0","net","15.166666666666666","0","6","Human","0","0.9453684210526315","false","0","net","524","0.25277777777777777",""
"2.872","0.006259419997852769","0.34818941504178275","0.06666666666666667","6",,"6","false","Cluster 3","Cluster 8","Clustered","2.0","Acsl","17.166666666666668","0","6","Human","0","0.9507368421052632","false","0","Acsl","2612","0.21710526315789475",""
"2.568","0.051753292943365184","0.3894080996884735","0.16842105263157894","20","20","5","false","","Cluster 5","Clustered","6.0","TER94","17.4","0","20","Human","0","0.9587368421052632","false","0","TER94","21006","0.14576271186440679",""
"2.656","0.03227380685466005","0.3765060240963855","0.15833333333333333","16","16","5","false","","Cluster 2","Clustered","2.7777777777777777","Delta","12.375","0","16","Human","0","0.956421052631579","false","0","Delta","10748","0.11538461538461539",""
"3.38","0.003998912185367463","0.2958579881656805","0.6190476190476191","7","7","6","false","","Cluster 5","Clustered","5.0","Coq6","11.142857142857142","0","7","Human","0","0.9373684210526315","false","0","Coq6","2692","0.30115830115830117",""
"3.34","0.001810448946171925","0.29940119760479045","0.3333333333333333","3",,"5","false","Cluster 3","","Unclustered","2.0","EndoA","10.333333333333334","0","3","Human","0","0.9384210526315788","false","0","EndoA","402","0.35714285714285715",""
"4.008","0.0","0.249500998003992","1.0","2",,"7","false","Cluster 3","Cluster 7","Seed","2.0","CG8745","7.5","0","2","Human","0","0.9208421052631578","false","0","CG8745","0","0.5769230769230769",""
