"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","Kmeans","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ortholog","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","X_Code"
"2.3502824858757063","0.014092336975296636","0.4254807692307692","0.24210526315789474","20","20","5","false","","Cluster 2","Clustered","5.0","Akt","15.9","0","20","Human","0","0.9670662808322997","false","0","Akt","3724","0.1485981308411215",""
"3.4237288135593222","0.0","0.29207920792079206","1.0","2",,"5","false","Cluster 1","","Unclustered","2.0","Ssrp","9.0","0","2","Human","0","0.9408846630839189","false","0","Ssrp","0","0.6428571428571429",""
"2.8813559322033897","0.0025115563877649008","0.34705882352941175","0.3333333333333333","4","4","5","false","Cluster 1","Cluster 5|Cluster 4","Clustered","1.6666666666666667","scb","15.25","0","4","Human","0","0.9541132699462588","false","0","scb","512","0.32608695652173914",""
"1.9774011299435028","0.06868692887374339","0.5057142857142857","0.17717717717717718","37","37","4","false","","Cluster 2","Clustered","5.303030303030303","N","17.135135135135137","0","37","Human","0","0.9761609480501585","false","0","N","13470","0.11780055917986952",""
"2.8700564971751414","0.00104870400974629","0.3484251968503937","0.5333333333333333","6",,"4","false","","","Unclustered","4.0","Deaf1","16.166666666666668","0","6","Human","0","0.9543888659225576","false","0","Deaf1","336","0.34782608695652173",""
"3.4237288135593222","0.0","0.29207920792079206","0.0","1",,"6","false","Cluster 1","","Unclustered","0.0","unc-13-4A","14.0","0","1","Human","0","0.9408846630839189","false","0","unc-13-4A","0","0.0","Female"
"3.146892655367232","0.0","0.31777378815080787","0.0","1",,"5","false","Cluster 1","","Unclustered","0.0","rempA","27.0","0","1","Human","0","0.9476367645032382","false","0","rempA","0","0.0",""
"2.598870056497175","0.0018025341354065906","0.3847826086956522","0.41818181818181815","11","11","5","false","","Cluster 2","Clustered","4.523809523809524","S6k","16.363636363636363","0","11","Human","0","0.9610031693537274","false","0","S6k","552","0.2097902097902098",""
"3.073446327683616","8.492123985280097E-4","0.32536764705882354","0.0","3",,"5","false","Cluster 1","","Unclustered","0.5","Vta1","11.0","0","3","Human","0","0.9494281383491802","false","0","Vta1","124","0.3448275862068966",""
"2.7570621468926553","0.0011351313560556064","0.36270491803278687","0.3333333333333333","7","7","5","false","Cluster 1","Cluster 3","Clustered","2.7","dgo","17.142857142857142","0","7","Human","0","0.9571448256855449","false","0","dgo","268","0.25210084033613445",""
"2.7344632768361583","0.0265331736532192","0.365702479338843","0.3333333333333333","12","12","4","false","","Cluster 3","Clustered","2.7777777777777777","Hr78","11.666666666666666","0","12","Human","0","0.9576960176381425","false","0","Hr78","5254","0.19305555555555556",""
"2.7796610169491527","0.0014213981648402165","0.3597560975609756","0.3333333333333333","7","7","5","false","Cluster 1","Cluster 3","Clustered","2.4000000000000004","Pkn","17.571428571428573","0","7","Human","0","0.9565936337329474","false","0","Pkn","264","0.28337236533957844",""
"2.4858757062146895","0.0192068141523091","0.4022727272727272","0.17582417582417584","14","14","5","false","Cluster 1","Cluster 6","Clustered","2.142857142857143","cpb","12.928571428571429","0","14","Human","0","0.9637591291167148","false","0","cpb","3410","0.13975155279503104",""
"2.5028248587570623","0.008475584641092992","0.39954853273137697","0.26666666666666666","10","10","5","false","Cluster 1","Cluster 6","Clustered","1.8214285714285712","Gli","18.2","0","10","Human","0","0.9633457351522667","false","0","Gli","1690","0.20449438202247192",""
"2.367231638418079","0.012844807023129267","0.4224343675417661","0.23333333333333334","16","16","5","false","","Cluster 2","Clustered","5.0","rictor","18.75","0","16","Human","0","0.9666528868678518","false","0","rictor","3004","0.17629716981132076",""
"2.672316384180791","0.006202628902217183","0.3742071881606765","0.14285714285714285","8",,"4","false","Cluster 1","","Unclustered","0.7857142857142857","Act42A","12.125","0","8","Human","0","0.9592117955077857","false","0","Act42A","1082","0.17647058823529413",""
"2.7401129943502824","0.0038179978696303123","0.3649484536082474","0.23809523809523808","7",,"4","false","","","Unclustered","0.8571428571428571","sc","13.142857142857142","0","7","Human","0","0.9575582196499931","false","0","sc","556","0.2021978021978022",""
"2.689265536723164","0.017882951736056744","0.37184873949579833","0.027777777777777776","9","9","5","false","","Cluster 6","Clustered","2.0","sima","10.88888888888889","0","9","Human","0","0.9587984015433375","false","0","sima","2510","0.1657559198542805",""
"2.785310734463277","0.001640906291307022","0.359026369168357","0.3333333333333333","6","6","6","false","Cluster 1","Cluster 3","Clustered","3.0","Strica","17.5","0","6","Human","0","0.9564558357447981","false","0","Strica","326","0.2708333333333333",""
"2.8813559322033897","5.18975237212466E-4","0.34705882352941175","0.8333333333333334","12","12","5","false","","Cluster 1","Clustered","8.590909090909092","cPges","14.833333333333334","0","12",,"0","0.9541132699462588","false","0","cPges","146","0.31560283687943264",""
