"x"
"Adh"
"Ald"
"1-Dec"
"bsh"
"Idh"
"Jon44E"
"egh"
"E(spl)m2-BFM"
"E(spl)malpha-BFM"
"ndl"
"odd"
"Prm"
"raw"
"Jon99Ciii"
"spo"
"betaTub97EF"
"ogre"
"fln"
"GstD6"
"Galphaf"
"TpnC47D"
"dmGlut"
"wal"
"l(3)02640"
"dia"
"thetaTry"
"cpb"
"mas"
"pcl"
"Aldh"
"Ance"
"MAPk-Ak2"
"Ask1"
"Mlp84B"
"alpha-Est8"
"Cnx99A"
"vkg"
"Pino"
"T3dh"
"dve"
"Alas"
"CG7179"
"Adk1"
"fus"
"CG11409"
"mEFTu1"
"Roc1a"
"CG3164"
"ZnT41F"
"CG8083"
"Mgstl"
"Ugt37b1"
"ProRS-m"
"Inx7"
"Six4"
"GCS2alpha"
"obst-B"
"Akap200"
"l(1)G0255"
"CG17834"
"CG2930"
"qsm"
"VhaPPA1-1"
"CG18518"
"CG15255"
"CS-2"
"CG15239"
"CG3097"
"CG16721"
"Btnd"
"Efr"
"hdm"
"CG2120"
"CG3106"
"CG1847"
"CG1806"
"CG1824"
"CG1640"
"CG1673"
"CG11158"
"mRpL3"
"CG4301"
"CG9673"
"mRpL22"
"Rrp45"
"CG9132"
"CG16700"
"CG8661"
"GalNAc-T2"
"CG14205"
"Ubqn"
"CG11912"
"CG2991"
"CG3332"
"CG17593"
"CG3714"
"Clect27"
"Jon25Biii"
"Cyp4ac3"
"CG11147"
"CG13992"
"CG9498"
"CG9527"
"Tango1"
"uif"
"CG13784"
"CG13786"
"Spn28Dc"
"CG17292"
"Bace"
"CG9289"
"Tsp29Fa"
"CG13113"
"CG17633"
"CG13138"
"CG5096"
"Lip4"
"CG7329"
"AstC"
"Oatp33Ea"
"Edem2"
"CG17928"
"CG13284"
"CG10178"
"CG17323"
"CG15170"
"Ttc19"
"CG16771"
"CG10165"
"CG13078"
"CG10680"
"CG7882"
"CG7881"
"Strica"
"Cyp6w1"
"Dhx15"
"CG1946"
"CG1698"
"CG12341"
"CG9084"
"CG9067"
"CG8854"
"CG8834"
"CG8818"
"CG16935"
"St4"
"CG8249"
"Ptp52F"
"Tsf3"
"CG15617"
"CG6484"
"CG5767"
"CG18538"
"CG18609"
"Jheh2"
"CG10737"
"CG9416"
"Ir56b"
"CG18367"
"CG9864"
"CG10505"
"CG9485"
"Acox57D-p"
"CG13492"
"Vps35"
"CG3264"
"nahoda"
"Eglp2"
"CG13895"
"CG13806"
"CG10477"
"Jon65Aii"
"Jon65Ai"
"CG13295"
"SP1173"
"CG10075"
"CG8562"
"CG8560"
"GstO2"
"CG18180"
"CrzR"
"Smyd4-2"
"CG14120"
"CG3868"
"CG17839"
"CG13075"
"Oatp74D"
"CG7542"
"CheA75a"
"CG14100"
"CG4825"
"CG4042"
"CG12974"
"CG12746"
"CG2017"
"CG1077"
"Osi3"
"CG2656"
"CG2641"
"mRpS9"
"CD98hc"
"VhaM8.9"
"CG16749"
"Desi"
"CG6574"
"Fer3"
"CG4830"
"CG4066"
"yellow-f2"
"CG8773"
"CG14357"
"CG14857"
"CG3987"
"CG5044"
"CG8925"
"CG6901"
"CG17929"
"CG8907"
"CG4009"
"CG12321"
"CG14309"
"Vha100-4"
"CG4733"
"CG4462"
"HHEX"
"CG5892"
"CG3301"
"CG7084"
"Sar1"
"Pebp1"
"CG5377"
"CG5326"
"Takl2"
"CG10170"
"CG16732"
"CG10300"
"CG5455"
"CG7920"
"CG9682"
"CG18404"
"PH4alphaEFB"
"Jon99Fii"
"Jon99Fi"
"Npc2h"
"CG1544"
"Smvt"
"CG2118"
"CG17167"
"Ugt86Dj"
"CG14625"
"CG5011"
"luna"
"CG13306"
"Prat2"
"Femcoat"
"Pax"
"CG18747"
"CG30427"
"GluRIIC"
"CG17278"
"Gr98c"
"CG33939"
"CG30008"
"CG30033"
"Oatp58Da"
"CG30456"
"Cog7"
"CG31098"
"CG31198"
"alpha-Man-Ic"
"CG31220"
"CG31223"
"CG31272"
"CG31288"
"CG31446"
"Oatp26F"
"CG31661"
"CG31663"
"mthl15"
"CG31832"
"tRNA:Thr-AGT-1-1"
"Mur29B"
"CG31974"
"CG32196"
"CG32483"
"Mur11Da"
"CG32669"
"CG32750"
"CR32773"
"Muc4B"
"CG32808"
"CG32984"
"CG33012"
"CG33124"
"VepD"
"CG33301"
"CheB42a"
"CG34005"
"GstE3"
"LpR1"
"CheB42b"
"CG34265"
"CG34288"
"CG34301"
"CG34386"
"CR41509"
"psd"
"Invadolysin"
"CG42249"
"Ndae1"
"CG17571"
"BHD"
"Xrp1"
"CG42672"
"CG42714"
"CG42728"
"mid"
"VhaAC45"
"SmydA-3"
"CG43187"
"CG43333"
"CR43417"
"CR43432"
"Lpin"
"CG43680"
"CR43688"
"CG43774"
"CR43837"
"CR43887"
"CR44043"
"CR44145"
"CR44517"
"CR44620"
"CR44640"
"CR44708"
"CR44912"
"CR44965"
"Kr-h2"
"CR45291"
"CR45382"
"CR45914"
"CR45957"
"CR46015"
