FlyBase.ID,Symbol,FB_Day5,FB_Day7,FB_Day14,FB_Day21,FB_Day28,FB_Day35,FB_Day42,FB_Day49,FB_Day56,FB_Day63,FB_Day70,FH_Day5,FH_Day7,FH_Day14,FH_Day21,FH_Day28,FH_Day35,FH_Day42,FH_Day49,FH_Day56,FH_Day63,FH_Day70,MB_Day5,MB_Day7,MB_Day14,MB_Day21,MB_Day28,MB_Day35,MB_Day42,MB_Day49,MB_Day56,MB_Day63,MB_Day70,MH_Day5,MH_Day7,MH_Day14,MH_Day21,MH_Day28,MH_Day35,MH_Day42,MH_Day49,MH_Day56,MH_Day63,MH_Day70
FBgn0033130,Tsp42Ei,34.92637,35.63905,40.56161,40.21274,51.70876,48.47127,48.82442,43.23737,43.86058,40.22175,44.85348,20.45863,23.52662,21.83122,26.3073,24.03574,32.36267,33.68225,35.80562,38.40178,40.21829,47.2951,53.28522,41.33405,31.97154,54.23947,46.87209,34.25028,56.58049,64.16935,55.9839,70.7037,60.55457,22.12746,18.92986,18.78369,22.93522,24.31809,27.15344,35.3124,41.23311,35.65225,40.91738,41.69329
FBgn0035049,Mmp1,51.97376,56.91763,67.57257,75.83689,87.889,83.66943,86.88435,76.73143,71.16308,82.79151,82.40682,45.37639,39.95459,46.96662,50.89085,57.34801,61.32099,67.27256,74.52457,69.34928,76.4239,83.27114,63.98853,68.64685,88.54994,76.56942,87.71639,101.42495,106.1569,96.67714,80.18491,81.07321,93.2878,60.01098,62.80235,69.6889,63.08148,79.35985,78.97997,80.37007,77.85102,75.82869,75.84094,101.51989
FBgn0036324,CG12520,0.997783,0.795746,0.645459,1.112191,0.992854,1.597695,1.276698,1.007344,1.963741,1.543559,2.643586,1.183162,0.486984,0.953385,0.71286,0.974695,0.945414,1.140752,1.093451,1.748695,2.742104,2.764794,1.067754,0.549812,0.799645,0.902761,0.765728,0.413517,1.099768,1.612189,1.851502,2.468389,3.002064,0.747065,0.728905,0.551626,0.314803,0.655765,0.516711,1.294026,1.487274,0.59658,1.739725,1.51163
FBgn0086347,Myo31DF,163.9732,163.6046,205.8412,246.0356,223.9036,191.8652,208.3997,174.7512,174.581,175.5251,197.0304,41.70589,44.14441,48.96014,53.28165,61.00263,66.25128,74.26497,93.5224,85.83917,96.92794,107.9841,100.6797,120.0411,137.186,117.8988,117.4818,135.3947,147.8765,142.4716,128.586,137.5638,161.3071,51.29544,41.27526,47.75378,41.78775,63.34464,62.92377,73.95274,72.61244,62.91026,80.32879,102.3886
FBgn0031914,CG5973,150.8728,171.2076,177.9453,157.9831,152.7781,138.9572,131.9721,127.1008,118.3249,100.714,120.3461,144.1862,150.4747,157.9426,150.5677,118.9983,134.4027,151.7169,125.1383,124.5243,121.689,129.3264,277.7002,246.8906,248.214,219.5156,207.7173,255.8207,164.4319,167.8377,126.021,146.3998,151.6658,202.1883,206.5159,221.4447,202.9995,204.6314,191.9362,159.3964,199.7202,129.0728,136.2951,148.8768
FBgn0050026,CG30026,8.838432,11.149348,12.246265,17.224445,21.289495,23.878575,32.173045,30.236135,29.08459,37.562485,37.827775,17.00656,20.09147,19.35476,20.5932,24.42861,26.28182,40.3058,31.56141,42.48544,42.62739,42.4458,10.84552,15.37842,26.02795,19.081,14.63491,34.21041,29.66653,25.62307,30.23544,29.52847,27.81519,14.4801,11.99307,11.82959,13.48671,11.41582,12.26403,16.1895,23.69163,27.50104,24.2426,20.01681
FBgn0270926,AsnS,172.9615,120.6899,125.27195,101.5848,76.85157,76.95974,71.33497,76.33189,73.42881,55.43236,62.46928,130.7001,128.3444,115.71545,107.50097,104.95624,114.2266,102.0015,117.7846,103.58977,94.00392,81.80947,161.91105,97.26481,97.46074,84.38824,70.1311,54.65133,35.99125,38.0121,46.96287,61.53686,43.27497,171.30095,176.50075,130.1955,117.7843,98.41638,77.50763,100.33477,99.49251,71.37123,75.05488,62.55761
FBgn0040236,c11.1,118.2771,109.9936,112.6595,139.4992,125.7964,121.9467,133.8699,124.2707,145.303,148.157,171.0191,83.47825,91.00196,87.8494,97.89422,103.80764,116.0346,117.5687,166.782,150.0054,170.0972,176.99315,98.45805,81.4422,86.9094,96.04735,89.60242,87.5573,95.01387,115.47005,110.13742,128.0651,137.7329,85.7819,86.3915,78.86095,86.12251,98.66481,99.68039,130.4273,107.7776,109.17038,139.98335,156.09655
FBgn0026409,Mpcp2,1382.485,1345.0368,1269.4585,1295.7665,886.5914,839.8588,810.554,764.5928,836.1928,692.4986,712.1247,832.9085,858.4493,634.5919,648.9147,556.7225,626.4253,568.8026,618.3215,554.1106,551.1808,528.044,1164.9064,930.7177,949.7826,986.4409,825.3873,820.553,697.5884,711.1101,702.3903,790.6617,672.1608,1175.792,932.706,810.2023,797.0008,710.3232,672.2257,690.4212,751.8324,602.4589,607.9013,550.0712
FBgn0038179,CG9312,19.2352,19.45118,21.51499,29.09838,24.77205,28.29617,33.70442,33.37304,35.29556,36.51877,39.62676,12.83943,14.11672,16.21492,15.43721,15.27381,19.05751,15.51715,22.1903,21.71872,24.5203,31.10491,28.63183,24.13051,34.60316,28.05796,27.77667,49.58536,28.38581,38.38357,40.78226,43.32427,48.83001,17.07053,12.38733,13.51864,18.77396,20.68371,21.51429,24.62037,34.95659,24.67667,26.61336,25.76772
FBgn0032601,yellow-b,18.85737,14.96984,17.40605,12.83555,16.04767,19.24124,17.8324,22.45425,22.74826,22.56394,26.31529,13.07438,14.17651,10.25314,11.68447,14.44336,13.57967,16.29099,19.81214,22.74293,21.45179,26.48835,26.36293,21.61963,15.50046,18.17503,19.68426,15.17374,25.19845,25.31456,23.24822,29.03512,29.87157,16.81643,12.02151,11.0792,10.46508,10.69758,14.29742,21.89139,19.95097,17.0725,21.60675,27.17841
FBgn0262476,CG43066,36.99463,32.36949,25.18416,20.53822,26.1924,23.08845,21.62685,16.88709,12.5892,14.19487,13.44945,121.1747,101.88057,96.02376,92.44128,76.50584,70.37726,71.4488,73.78987,59.88809,56.08701,59.37157,57.19575,44.19953,43.505,34.67372,37.2227,34.31704,26.34172,20.65522,16.44959,16.26177,14.38992,134.142,131.21641,153.12315,118.3137,120.07425,108.78835,76.39802,65.31318,60.56253,58.62335,72.37758
FBgn0003328,scb,169.5126,165.0465,256.0439,303.1241,282.0444,261.1322,318.0801,268.1041,271.2527,324.4309,357.8109,38.90978,42.36094,45.60122,42.45332,60.68145,58.80954,74.95122,89.47213,93.68523,95.44685,104.3024,95.29672,108.08168,126.17905,132.8879,121.25015,121.3065,183.6473,171.9731,157.20515,176.56175,240.067,48.80454,43.80611,46.82737,52.56536,61.02958,66.10429,73.18634,85.6747,69.00685,92.76719,111.4734
FBgn0032785,CG10026,17.27624,21.61357,28.97888,19.35477,16.88237,18.51711,13.34854,16.04254,16.00086,14.13208,14.33848,20.96139,30.54589,28.80594,26.32797,24.28838,24.39661,22.00426,25.65584,21.56682,22.26522,22.92035,22.89365,28.59569,30.5846,27.04642,24.81995,22.22467,19.43425,19.59559,15.91127,11.80893,14.98543,31.65142,36.68236,34.68048,28.69521,27.33218,23.66894,27.17591,29.53209,23.02329,18.03589,18.58876
FBgn0032587,CG5953,31.47245,41.20951,37.77776,37.42012,57.06356,59.40594,66.98666,49.05651,57.11776,63.25737,71.39106,34.69756,34.08161,46.13529,44.86928,50.69419,45.54299,68.64056,69.72635,65.55283,66.49813,83.62414,46.47326,38.51071,47.36862,45.48291,54.65084,62.86842,80.36938,69.15859,61.60213,82.78077,96.33025,34.17225,37.311,61.80432,57.19187,73.56585,72.16042,66.29244,77.94419,77.8428,82.06377,116.86426
FBgn0250871,pot,40.72998,35.56378,33.18993,25.03845,36.89375,40.49421,40.57916,41.84015,43.83275,43.50118,50.56054,65.56539,54.04069,49.25194,50.99372,59.94707,61.29171,71.01963,83.89324,80.11003,85.16679,91.34515,70.41268,48.79194,47.09854,53.2971,55.33875,53.15405,71.08785,70.15402,60.57872,67.97686,66.97507,67.4744,59.18628,64.20471,58.05651,75.1325,76.95881,69.56546,75.70246,63.3928,72.11033,94.37032
FBgn0013305,Nmda1,99.01426,116.66285,145.3323,149.74985,158.9591,166.32645,180.5727,176.8417,170.67455,186.3716,191.12415,159.8759,187.3135,180.2327,197.7467,170.1441,201.4852,220.0548,207.1771,223.2284,216.1851,241.4199,122.7369,146.9729,140.9583,155.7224,150.031,157.4349,181.5818,204.1303,181.8877,213.7903,226.2041,214.6274,196.9237,228.5486,203.4016,220.453,233.4047,200.0211,267.6455,212.8519,218.6568,262.6034
FBgn0003071,Pfk,377.8038,227.1407,172.3724,156.6525,133.5526,116.1406,118.6284,119.8809,138.4617,128.6422,142.4401,228.2918,217.8926,190.4811,179.6609,169.046,185.5451,156.1832,193.5694,195.9166,198.8869,197.4486,450.372,276.1388,179.9444,178.0524,172.8747,152.1807,127.8909,145.6114,134.7375,142.7375,129.9992,294.4617,256.7724,209.4721,186.6913,184.4011,185.442,172.8952,176.2807,162.4168,177.4601,168.0907
FBgn0262141,CG42867,2.810988,4.511393,4.173927,3.77605,3.999916,4.573339,5.120459,4.903372,6.044227,6.802813,9.003597,3.525703,3.613894,3.311488,3.489957,2.521475,3.945534,5.43006,6.6589,8.504524,8.163593,6.829556,1.509891,2.207643,2.004268,2.36408,2.581983,1.672548,3.870703,5.153427,5.037469,7.034951,6.301882,1.937828,1.978071,1.658531,2.505066,2.411289,2.337367,4.639936,7.080896,5.627315,5.06861,5.118581
