Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
CG1806,14.116595,11.64519,11.799265,11.77583,10.80809,10.316706,9.925061,10.31855,10.908328,11.128105,11.41039
CG1492,4.209114,4.71514,5.832848,4.775599,3.879782,4.912473,4.029981,3.584098,3.36674,3.985765,4.733906
regucalcin,352.639,265.5372,245.9466,268.1415,165.4776,118.0909,113.9496,136.5289,131.0382,171.4895,115.5844
Cyp318a1,5.83322,4.362324,3.000218,5.147271,3.935055,2.517375,2.998743,3.100359,3.730933,2.50909,1.818587
Rab40,10.45792,13.98734,14.83129,12.60369,12.55546,18.00015,16.21983,16.15891,13.38057,16.01971,17.11657
CG2556,103.8476,124.4229,141.46525,112.09154,108.62665,145.1481,105.50405,103.59623,85.81119,74.59252,106.84528
Cpr11B,0.290334,0.183271,0.94043,0.374873,0.3668,0.856917,0.112027,0.174013,0.626029,0.717335,0.836127
CG1824,87.20004,71.57369,63.50629,64.71328,48.13826,42.84266,42.44317,46.10567,46.40191,61.93651,43.53076
CG1463,22.00201,20.17898,20.05888,19.45729,20.15488,16.48359,23.79405,19.90403,16.54662,21.3254,19.69935
CG2543,4.164164,3.494735,2.549,3.531502,3.277283,2.320199,2.04112,2.470558,2.425701,2.533771,2.550528
CG11085,2.00E-01,-5.55E-17,4.45E-01,-5.55E-17,7.35E-02,5.41E-01,4.26E-02,3.30E-01,3.11E-01,4.79E-01,2.83E-01
CG4407,34.34348,36.3373,38.99428,34.30271,28.95191,29.07637,21.39761,29.08045,29.18418,31.87931,31.86694
CG12716,0.380234,0.043436,0.148001,0.200454,0.473985,0.456177,0.16804,0.311655,0.780216,0.955484,0.528472
CG1640,589.7393,426.9099,387.2224,399.4893,373.0065,352.9644,293.3043,327.4266,298.2521,326.9919,304.5482
CG1673,303.0145,329.5577,315.1744,274.0027,224.4074,289.5993,192.4953,182.8702,157.8991,132.1539,208.1599
CG1998,42.90314,49.84571,45.95135,46.64393,37.17906,41.1707,30.80134,31.06013,26.53252,27.34498,25.53253
CG11162,14.359077,9.660053,8.629695,7.170348,5.740509,3.383039,3.51624,3.104921,3.336164,3.502388,2.927764
CG11158,15.334704,13.587205,15.971414,15.953265,9.971165,10.578751,9.000453,12.402785,10.506919,12.656,9.671188
CG11151,441.6447,387.079,442.2671,354.661,296.3736,298.0573,199.6702,203.199,183.9264,243.7149,188.7788
CG13404,1.382403,2.949122,2.391721,1.868295,1.668456,2.065228,1.405338,1.760884,1.470045,1.60008,1.074294
CG9400,4.09858,5.793448,4.186285,3.220837,3.45644,2.36453,1.49812,2.677022,1.270666,1.359044,1.158679
CG9413,110.79544,104.51234,84.02479,79.37092,86.89647,78.53145,104.2682,76.52728,56.35081,61.03086,65.92285
CG14407,62.89666,51.57572,55.06731,50.04052,44.54659,54.76134,31.93842,37.51749,35.63979,50.08633,34.35571
CG9512,894.5852,708.4381,649.9217,649.869,632.0995,795.1464,531.0447,792.2116,636.8617,743.7776,801.5336
ND-B18,119.23937,79.73852,70.72284,55.94924,42.51105,55.54404,33.46416,37.3312,38.64894,52.53507,38.27865
Lsd-2,348.4171,415.9339,531.8054,457.3083,413.8626,544.6185,369.6512,324.5559,299.217,277.763,280.1898
CG9065,55.39283,64.24706,78.68675,56.06529,58.78339,104.95221,44.23897,48.38661,42.45701,46.33573,39.28517
CG12608,15.60586,20.40827,25.85374,20.07863,16.42984,21.05097,17.92025,18.49317,14.98086,15.42447,16.85143
CG9164,6.984964,6.584822,7.314917,5.057028,7.382236,8.048601,5.740028,6.075412,4.554999,4.917872,4.773508
CG6340,43.37483,41.83881,45.27099,38.73411,37.21963,48.59151,33.56703,34.99495,30.12384,34.92086,33.47461
CG8128,76.34189,63.28308,63.66092,57.73379,47.72776,49.67518,33.13762,35.61106,33.40687,38.19591,33.77736
Pis,113.7624,120.06705,112.34257,125.06775,104.0764,109.73789,95.03485,100.76763,84.28544,79.54923,92.67703
CG8206,181.75915,157.01155,147.2161,140.71765,115.42065,135.08015,90.75712,97.62785,98.28775,120.66804,102.54546
mRpL3,26.08297,25.83937,23.75183,23.86232,26.27068,25.37899,21.28347,22.05451,19.26469,18.15858,19.23574
CG8952,171.89324,120.89575,122.46623,125.74175,105.59007,110.48248,91.64293,91.88859,67.71875,92.15206,80.07237
mRpS30,58.33366,63.4108,76.18561,72.77723,82.99126,99.3765,64.67683,68.41594,55.08008,41.16434,48.95862
CG8916,0.110534,0,0.049334,0.174418,0.146257,0.260672,0.113278,0.710317,1.394276,1.571208,1.315005
ND-20,348.4472,261.4588,221.8591,199.9825,207.061,222.9872,143.708,165.3781,133.3286,142.2926,113.1042
dpr18,6.92083,5.17162,5.365136,5.776104,5.065765,7.248792,10.30002,5.877367,4.875341,3.210126,4.584844
Mfe2,524.361,423.3088,440.7817,415.139,321.8081,313.799,217.1905,267.6841,254.5334,314.0084,260.185
CG9919,6.870749,7.322103,9.04984,4.379323,5.807851,7.545049,5.842432,4.724242,4.116379,4.216556,4.016862
CG9921,77.04105,80.29542,74.2778,62.70665,61.0037,78.2742,42.17155,45.63357,32.71711,32.44353,32.41248
CG4239,161.1514,121.12197,72.547,78.31305,78.05379,86.07396,63.22174,66.34123,47.61429,48.17899,51.44864
CG9981,11.247167,14.581715,17.205635,12.02229,11.44349,11.179329,8.346678,10.391933,7.738319,6.911546,8.869849
CG4301,72.69186,79.84008,91.00983,76.94716,71.51256,73.35971,58.2936,61.14384,47.40682,48.12208,56.16612
Traf-like,15.02296,20.56037,22.38772,18.13829,17.55823,22.11586,16.48025,15.39865,11.57825,11.48043,16.61545
AnxB11,41.5185,50.98409,53.85768,55.74215,44.52708,52.77307,71.6907,76.70604,59.14854,61.6232,79.67341
CG9782,3.527503,1.600671,2.994033,1.725981,1.63787,3.285928,1.722173,2.27187,3.391984,2.497541,2.406648
CG9676,1.554841,1.702398,3.323905,1.947837,3.40067,1.547914,2.512617,2.427698,2.344637,2.022546,1.600314
CG9673,187.73125,162.02845,184.0428,162.5728,117.138,118.33629,72.9391,95.93517,91.94375,131.0312,96.08814
CG4678,15.82101,11.43447,11.856845,10.14329,8.724506,12.094425,8.024443,7.304553,7.025893,6.828561,6.775763
