FBgn,Label,N,NObsUsed,NObsRead,SumFreqsUsed,SumFreqsRead,Label1,nvalue1,DependentVariables
FBgn0000108,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000108,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000109,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000109,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000114,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000114,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000115,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000115,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000116,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000116,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000117,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000117,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000119,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000119,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000120,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000120,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000121,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000121,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000137,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000137,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000139,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000139,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000140,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000140,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000146,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000146,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000147,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000147,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000150,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000150,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000152,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000152,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000153,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000153,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000157,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000157,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000158,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000158,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000163,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000163,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000166,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000166,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000173,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000173,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000179,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000179,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000180,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000180,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000181,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000181,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000183,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000183,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000206,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000206,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000212,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000212,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000221,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000221,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000228,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000228,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000229,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000229,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000233,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000233,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000239,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000239,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000241,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000241,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000244,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000244,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000246,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000246,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000247,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000247,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000250,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000250,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000251,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000251,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000253,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000253,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000256,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000256,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000257,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000257,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000259,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000259,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000261,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000261,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000273,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
