Symbol,Kmeans
Prx3,Cluster 4
CG14687,Cluster 4
CG14132,Cluster 4
CG4020,Cluster 4
CG12746,Cluster 4
ND-B14,Cluster 4
CG42337,Cluster 4
spidey,Cluster 4
CG30339,Cluster 4
CG32379,Cluster 4
Hsc70-1,Cluster 4
Gbeta76C,Cluster 4
CG2254,Cluster 4
CG12994,Cluster 4
CG4741,Cluster 4
CG10505,Cluster 4
PCB,Cluster 4
CG10194,Cluster 4
cln3,Cluster 4
Pmp70,Cluster 4
CG17477,Cluster 4
Fatp,Cluster 4
CG32544,Cluster 4
Zasp52,Cluster 4
Gbeta5,Cluster 4
CG18765,Cluster 4
VhaPPA1-1,Cluster 4
frj,Cluster 4
FASN2,Cluster 4
CG43078,Cluster 4
ZnT41F,Cluster 4
CG2016,Cluster 4
CG10671,Cluster 4
CG9921,Cluster 4
CG4945,Cluster 4
Cyp6t1,Cluster 4
CG40006,Cluster 4
CG8519,Cluster 4
GV1,Cluster 4
CG4984,Cluster 4
CG13856,Cluster 4
CG11151,Cluster 4
Irp-1B,Cluster 4
Adgf-A,Cluster 4
Cyp6a2,Cluster 4
CheB38c,Cluster 4
Pis,Cluster 4
CG44142,Cluster 4
CG5177,Cluster 4
AkhR,Cluster 4
Alas,Cluster 4
CG13578,Cluster 4
CG6462,Cluster 4
CG5945,Cluster 4
CG17032,Cluster 4
betaTry,Cluster 4
Cbp53E,Cluster 4
CG12321,Cluster 4
VhaM8.9,Cluster 4
CG15522,Cluster 4
CG3301,Cluster 4
CG6178,Cluster 4
CG17211,Cluster 4
CG18540,Cluster 4
GstO2,Cluster 4
CG10737,Cluster 4
Cyp12b2,Cluster 4
a10,Cluster 4
Gad1,Cluster 4
CG6295,Cluster 4
Cpr73D,Cluster 4
CG13650,Cluster 4
Rop,Cluster 4
Vha100-4,Cluster 4
CG15528,Cluster 4
Fie,Cluster 4
CG6983,Cluster 4
Os-C,Cluster 4
Vha100-2,Cluster 4
CG11617,Cluster 4
CG11147,Cluster 4
Tace,Cluster 4
CG7829,Cluster 4
CG14298,Cluster 4
CG3829,Cluster 4
CG15531,Cluster 4
Odc1,Cluster 4
rdo,Cluster 4
ninaD,Cluster 4
Npc2d,Cluster 4
Ugt37b1,Cluster 4
CG10257,Cluster 4
CG9682,Cluster 4
DAT,Cluster 4
Lcch3,Cluster 4
CG15096,Cluster 4
boss,Cluster 4
CG4053,Cluster 4
CG9164,Cluster 4
CG12116,Cluster 4
Cyp6w1,Cluster 4
Ance,Cluster 4
CG8916,Cluster 4
Mgat2,Cluster 4
Acox57D-d,Cluster 4
CG7542,Cluster 4
Hmt-1,Cluster 4
CG6659,Cluster 4
CG13408,Cluster 4
CG31810,Cluster 4
CG34208,Cluster 4
nAChRbeta2,Cluster 4
CG32483,Cluster 4
CG12057,Cluster 4
CG13428,Cluster 4
CG8861,Cluster 4
Zasp66,Cluster 4
Gycalpha99B,Cluster 4
CG5892,Cluster 4
gammaSnap1,Cluster 4
Etf-QO,Cluster 4
ninaC,Cluster 4
CG18585,Cluster 4
CG33080,Cluster 4
gammaSnap2,Cluster 4
CG17571,Cluster 4
Oli,Cluster 4
CG34301,Cluster 4
kcc,Cluster 4
7B2,Cluster 4
CheA84a,Cluster 4
CG32037,Cluster 4
CG6959,Cluster 4
CG5167,Cluster 4
CG6746,Cluster 4
CG1673,Cluster 4
CG1941,Cluster 4
CG5282,Cluster 4
CanB,Cluster 4
Vha100-5,Cluster 4
CG31051,Cluster 4
Eglp2,Cluster 4
CG3630,Cluster 4
CS-2,Cluster 4
CG8596,Cluster 4
Cpn,Cluster 4
CG17544,Cluster 4
CG31265,Cluster 4
dpr2,Cluster 4
CG31823,Cluster 4
trpl,Cluster 4
CG1909,Cluster 4
CG31098,Cluster 4
Hasp,Cluster 4
CPT2,Cluster 4
Rab32,Cluster 4
clt,Cluster 4
CG18428,Cluster 4
CR45597,Cluster 4
CG9555,Cluster 4
CG13071,Cluster 4
CG15611,Cluster 4
CG1882,Cluster 4
CG6901,Cluster 4
alphaTry,Cluster 4
RabX4,Cluster 4
CG5346,Cluster 4
Cyp4d20,Cluster 4
CG10924,Cluster 4
dpr21,Cluster 4
CG43680,Cluster 4
Cpr11B,Cluster 4
iotaTry,Cluster 4
LysB,Cluster 4
CG14120,Cluster 4
twz,Cluster 4
prim,Cluster 4
CG7781,Cluster 4
CG9676,Cluster 4
CG6329,Cluster 4
Rint1,Cluster 4
CG11000,Cluster 4
CG11852,Cluster 4
Seipin,Cluster 4
zetaTry,Cluster 4
VhaM9.7-a,Cluster 4
COQ7,Cluster 4
CG11085,Cluster 4
Jheh3,Cluster 4
CG42249,Cluster 4
PH4alphaPV,Cluster 4
CG11211,Cluster 4
Acox57D-p,Cluster 4
CG9673,Cluster 4
CG10472,Cluster 4
lcs,Cluster 4
CG11034,Cluster 4
LManV,Cluster 4
CG33199,Cluster 4
CG33543,Cluster 4
CG3344,Cluster 4
Or42b,Cluster 4
CG18404,Cluster 4
LManVI,Cluster 4
CG31266,Cluster 4
CG7943,Cluster 4
CG13492,Cluster 4
CG3706,Cluster 4
bsh,Cluster 4
alpha-Est4,Cluster 4
CG11162,Cluster 4
CG32523,Cluster 4
Tps1,Cluster 4
CG8834,Cluster 4
Mfe2,Cluster 4
CG17928,Cluster 4
Dop2R,Cluster 4
alpha-Est7,Cluster 4
nwk,Cluster 4
CG32669,Cluster 4
CG43774,Cluster 4
CG13947,Cluster 4
CG9993,Cluster 4
CG18609,Cluster 4
EbpII,Cluster 4
CG32052,Cluster 4
CG10827,Cluster 4
CG31928,Cluster 4
CG17193,Cluster 4
Pebp1,Cluster 4
CG1942,Cluster 4
Aldh-III,Cluster 4
Cyp12d1-d,Cluster 4
slif,Cluster 4
Sply,Cluster 4
CG30265,Cluster 4
bys,Cluster 4
CG7912,Cluster 4
Ndg,Cluster 4
Cyp12d1-p,Cluster 4
Rrp46,Cluster 4
CG3434,Cluster 4
Mdr50,Cluster 4
CG15253,Cluster 4
CG16904,Cluster 4
Vha55,Cluster 4
CG4753,Cluster 4
CG30008,Cluster 4
Cyp4ad1,Cluster 4
Sod3,Cluster 4
Task7,Cluster 4
Jon65Aiv,Cluster 4
CG32750,Cluster 4
Bace,Cluster 4
CG17633,Cluster 4
CG5883,Cluster 4
CG12374,Cluster 4
ana,Cluster 4
LysD,Cluster 4
CR44039,Cluster 4
Cpr66Cb,Cluster 4
CG12716,Cluster 4
CG3106,Cluster 4
Jon65Aii,Cluster 4
Jon74E,Cluster 4
CG9459,Cluster 4
CG31233,Cluster 4
CG6044,Cluster 4
CG9458,Cluster 4
Cpr,Cluster 4
CG10051,Cluster 4
thetaTry,Cluster 4
vanin-like,Cluster 4
CG11911,Cluster 4
CG31259,Cluster 4
CG11912,Cluster 4
CG17562,Cluster 4
CG4830,Cluster 4
CG7910,Cluster 4
yip7,Cluster 4
Mgstl,Cluster 4
CG8661,Cluster 4
Jon65Aiii,Cluster 4
Jon66Ci,Cluster 4
Jon99Fii,Cluster 4
Tmhs,Cluster 4
CG13091,Cluster 4
epsilonTry,Cluster 4
CG32751,Cluster 4
CG18744,Cluster 4
Femcoat,Cluster 4
Uhg2,Cluster 4
Jon99Fi,Cluster 4
CG30043,Cluster 4
CG31661,Cluster 4
CG4009,Cluster 4
St4,Cluster 4
Cp7Fb,Cluster 4
Cp7Fc,Cluster 4
Mur11Da,Cluster 4
CG8303,Cluster 4
CG8206,Cluster 4
CG15674,Cluster 4
CG4914,Cluster 4
inaF-C,Cluster 4
CG42339,Cluster 4
CG11619,Cluster 4
CG10311,Cluster 4
CG43795,Cluster 4
danr,Cluster 4
CG11384,Cluster 4
CG6067,Cluster 4
CR46089,Cluster 4
CG13114,Cluster 4
CG34370,Cluster 4
Obp19a,Cluster 4
tank,Cluster 4
Lsd-1,Cluster 4
CG42795,Cluster 4
CG33306,Cluster 4
CRAT,Cluster 4
Spn55B,Cluster 4
CG45782,Cluster 4
CG16749,Cluster 4
CG13992,Cluster 4
Cp7Fa,Cluster 4
CG1077,Cluster 4
Zip48C,Cluster 4
CG15358,Cluster 4
Vm26Aa,Cluster 4
Jhedup,Cluster 4
CG17684,Cluster 4
Obp19b,Cluster 4
CG6048,Cluster 4
eys,Cluster 4
CG10680,Cluster 4
CG7329,Cluster 4
CG34460,Cluster 4
Papss,Cluster 4
Yp2,Cluster 4
Cyp4d21,Cluster 4
CG6330,Cluster 4
Uhg5,Cluster 4
Sf3b3,Cluster 4
Yp3,Cluster 4
snoRNA:Or-CD11,Cluster 4
CG30349,Cluster 4
