Symbol,Kmeans
CG14688,Cluster 4
slgA,Cluster 4
Mpcp,Cluster 4
CG43066,Cluster 4
Suv3,Cluster 4
CG33970,Cluster 4
CG43693,Cluster 4
CG4115,Cluster 4
CG9449,Cluster 4
Jhe,Cluster 4
Gs2,Cluster 4
SsRbeta,Cluster 4
Cyp313a4,Cluster 4
CG17691,Cluster 4
Inx2,Cluster 4
mwh,Cluster 4
porin,Cluster 4
CG2003,Cluster 4
CG9471,Cluster 4
CG4829,Cluster 4
CG10470,Cluster 4
CG8004,Cluster 4
CG8818,Cluster 4
CG9231,Cluster 4
Dic1,Cluster 4
CG8323,Cluster 4
CR43105,Cluster 4
CG6345,Cluster 4
CG18622,Cluster 4
Mitofilin,Cluster 4
CG14661,Cluster 4
Ent2,Cluster 4
caix,Cluster 4
CG32281,Cluster 4
Cyp313a1,Cluster 4
CG5618,Cluster 4
CG14160,Cluster 4
PheRS-m,Cluster 4
CG18327,Cluster 4
Cyp6a8,Cluster 4
alpha-Est8,Cluster 4
CG12344,Cluster 4
CG11035,Cluster 4
CG42376,Cluster 4
CG10345,Cluster 4
CG33939,Cluster 4
Sec61alpha,Cluster 4
CG3191,Cluster 4
CG9194,Cluster 4
Jheh2,Cluster 4
bib,Cluster 4
sand,Cluster 4
CG10075,Cluster 4
CG14757,Cluster 4
CG7458,Cluster 4
Pex6,Cluster 4
MagR,Cluster 4
mRpL44,Cluster 4
CG34120,Cluster 4
CG1998,Cluster 4
Atg6,Cluster 4
CG5114,Cluster 4
CG5611,Cluster 4
htl,Cluster 4
unc-5,Cluster 4
blp,Cluster 4
mRpS9,Cluster 4
CG16700,Cluster 4
CG9577,Cluster 4
CG10623,Cluster 4
mRpL18,Cluster 4
CG2082,Cluster 4
CheB53a,Cluster 4
CG3961,Cluster 4
CG13813,Cluster 4
CG12811,Cluster 4
CG13912,Cluster 4
CIA30,Cluster 4
Ady43A,Cluster 4
ZnT77C,Cluster 4
Nlg1,Cluster 4
Hdc,Cluster 4
spz5,Cluster 4
Ac76E,Cluster 4
CG9864,Cluster 4
CG9498,Cluster 4
PTPMT1,Cluster 4
Orct,Cluster 4
CG8199,Cluster 4
Adh,Cluster 4
CG17294,Cluster 4
CG2837,Cluster 4
CG4230,Cluster 4
CG11576,Cluster 4
CG9505,Cluster 4
mRpL32,Cluster 4
Rpt1,Cluster 4
CG8331,Cluster 4
CG10576,Cluster 4
RIC-3,Cluster 4
Vha14-1,Cluster 4
CG13937,Cluster 4
stmA,Cluster 4
CG6567,Cluster 4
CG9286,Cluster 4
Pkcdelta,Cluster 4
Thiolase,Cluster 4
CG34220,Cluster 4
Pal1,Cluster 4
CG14367,Cluster 4
CG2118,Cluster 4
CG34217,Cluster 4
CG11781,Cluster 4
CG3097,Cluster 4
CR44467,Cluster 4
Idh,Cluster 4
CG11099,Cluster 4
CG4565,Cluster 4
l(2)k09913,Cluster 4
Acer,Cluster 4
CG17029,Cluster 4
Las,Cluster 4
CG10654,Cluster 4
CG13192,Cluster 4
CG6733,Cluster 4
CG7407,Cluster 4
ND-MWFE,Cluster 4
CG2543,Cluster 4
CG4407,Cluster 4
CG6950,Cluster 4
Prosalpha6,Cluster 4
CG1774,Cluster 4
CG13850,Cluster 4
CG9436,Cluster 4
CG16721,Cluster 4
CG8067,Cluster 4
mRpL16,Cluster 4
CG11883,Cluster 4
CG33120,Cluster 4
mtRNApol,Cluster 4
Ttc19,Cluster 4
CG33296,Cluster 4
CG4678,Cluster 4
CG43218,Cluster 4
ProRS-m,Cluster 4
l(3)neo43,Cluster 4
PMP34,Cluster 4
CG13607,Cluster 4
Mtpalpha,Cluster 4
Roc1a,Cluster 4
CR46008,Cluster 4
CG42237,Cluster 4
Hk,Cluster 4
CG31643,Cluster 4
Pect,Cluster 4
CG2608,Cluster 4
CG3420,Cluster 4
CG5326,Cluster 4
SLC22A,Cluster 4
alrm,Cluster 4
regucalcin,Cluster 4
SCCRO,Cluster 4
CR45291,Cluster 4
CG6574,Cluster 4
CG1126,Cluster 4
CG8320,Cluster 4
mRpL55,Cluster 4
CG7639,Cluster 4
CG6800,Cluster 4
Uhg1,Cluster 4
Cyp4e1,Cluster 4
CG32278,Cluster 4
CG43207,Cluster 4
CG4882,Cluster 4
OS9,Cluster 4
Alg-2,Cluster 4
qtc,Cluster 4
bigmax,Cluster 4
nac,Cluster 4
CG12848,Cluster 4
Toll-7,Cluster 4
l(2)37Bb,Cluster 4
CG44098,Cluster 4
Mtr3,Cluster 4
CG11550,Cluster 4
CG31223,Cluster 4
CG33108,Cluster 4
CG4825,Cluster 4
CG14964,Cluster 4
CG14100,Cluster 4
CG5938,Cluster 4
GCS2alpha,Cluster 4
ZC3H3,Cluster 4
CG10362,Cluster 4
goe,Cluster 4
alpha-Est2,Cluster 4
Ubc7,Cluster 4
CG12608,Cluster 4
CG17597,Cluster 4
prtp,Cluster 4
CysRS,Cluster 4
Srp14,Cluster 4
CG5867,Cluster 4
ArfGAP1,Cluster 4
fh,Cluster 4
GluClalpha,Cluster 4
Rpt4,Cluster 4
CG10165,Cluster 4
ogre,Cluster 4
CG1463,Cluster 4
CG18766,Cluster 4
CG9766,Cluster 4
CG10672,Cluster 4
Tim8,Cluster 4
s-cup,Cluster 4
CG7236,Cluster 4
CG1628,Cluster 4
pdgy,Cluster 4
CG1674,Cluster 4
CG3164,Cluster 4
AP-2sigma,Cluster 4
CG9799,Cluster 4
CG30427,Cluster 4
SmydA-6,Cluster 4
Adck,Cluster 4
Patsas,Cluster 4
Ebp,Cluster 4
CG13738,Cluster 4
mRpS2,Cluster 4
mRpL12,Cluster 4
nAChRbeta1,Cluster 4
CG1946,Cluster 4
SdhA,Cluster 4
ND-49,Cluster 4
blw,Cluster 4
SdhB,Cluster 4
COX6B,Cluster 4
CG9399,Cluster 4
Cyt-c-p,Cluster 4
Ucp4A,Cluster 4
Cyt-c1,Cluster 4
Gpdh,Cluster 4
ND-23,Cluster 4
CG42319,Cluster 4
ND-51,Cluster 4
Acon,Cluster 4
Nc73EF,Cluster 4
CG43673,Cluster 4
CG5028,Cluster 4
CG6034,Cluster 4
Scgalpha,Cluster 4
SdhD,Cluster 4
CG13920,Cluster 4
CG9990,Cluster 4
CG14022,Cluster 4
CG7920,Cluster 4
CG5037,Cluster 4
CG3348,Cluster 4
ND-MLRQ,Cluster 4
CG10550,Cluster 4
ND-75,Cluster 4
ATPsynC,Cluster 4
P5CDh1,Cluster 4
CG17778,Cluster 4
Nha1,Cluster 4
CG6145,Cluster 4
CG2065,Cluster 4
CG10237,Cluster 4
CG17292,Cluster 4
t,Cluster 4
roh,Cluster 4
ND-24,Cluster 4
CG17323,Cluster 4
CG6908,Cluster 4
muc,Cluster 4
spin,Cluster 4
CG12105,Cluster 4
CG13024,Cluster 4
ND-20,Cluster 4
ATPsynE,Cluster 4
CG7025,Cluster 4
CG5023,Cluster 4
alpha-Est10,Cluster 4
CG32225,Cluster 4
CG42361,Cluster 4
l(1)G0156,Cluster 4
CG8128,Cluster 4
CG30493,Cluster 4
plx,Cluster 4
CG3625,Cluster 4
fw,Cluster 4
mag,Cluster 4
SelR,Cluster 4
Vha68-1,Cluster 4
Pink1,Cluster 4
metro,Cluster 4
Npl4,Cluster 4
CG14015,Cluster 4
GstO3,Cluster 4
Rim2,Cluster 4
CG13144,Cluster 4
CG9497,Cluster 4
CG6660,Cluster 4
Jheh1,Cluster 4
CG7460,Cluster 4
CG9527,Cluster 4
CG13404,Cluster 4
CG11200,Cluster 4
ND-B16.6,Cluster 4
ND-B22,Cluster 4
CG8773,Cluster 4
meso18E,Cluster 4
CG2930,Cluster 4
CdsA,Cluster 4
Arr1,Cluster 4
Eaat1,Cluster 4
CG7461,Cluster 4
MFS1,Cluster 4
CG18815,Cluster 4
CG5991,Cluster 4
CG6432,Cluster 4
CG4462,Cluster 4
Sc2,Cluster 4
CG4797,Cluster 4
CheB42b,Cluster 4
CG9988,Cluster 4
l(1)G0334,Cluster 4
CG30495,Cluster 4
CG1632,Cluster 4
TM4SF,Cluster 4
aralar1,Cluster 4
CG5707,Cluster 4
CG32407,Cluster 4
CG17386,Cluster 4
Fer1,Cluster 4
CG7582,Cluster 4
Gbs-76A,Cluster 4
Atpalpha,Cluster 4
GstE3,Cluster 4
Vha13,Cluster 4
comt,Cluster 4
CG9360,Cluster 4
sano,Cluster 4
CG5958,Cluster 4
Dat,Cluster 4
CG5044,Cluster 4
CG8520,Cluster 4
dpr19,Cluster 4
CG12375,Cluster 4
CG5404,Cluster 4
CG11334,Cluster 4
inaC,Cluster 4
CG17190,Cluster 4
Gk2,Cluster 4
CG42265,Cluster 4
CG11191,Cluster 4
l(3)02640,Cluster 4
cype,Cluster 4
CG17192,Cluster 4
CG4729,Cluster 4
CG15203,Cluster 4
CG33965,Cluster 4
CG14777,Cluster 4
ox,Cluster 4
CG8083,Cluster 4
CG15706,Cluster 4
CG1532,Cluster 4
CG7231,Cluster 4
Alk,Cluster 4
