Genes,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
FBgn0000014,12.49262,10.5613,12.53139,12.58567,14.09539,14.91799,16.52828,16.86457,15.56557,17.07656,20.16695
FBgn0000024,153.5706,147.7434,177.4962,145.4128,186.3246,165.1183,135.8641,124.7863,115.6746,108.7466,124.4658
FBgn0000038,21.313198,18.382193,18.167358,13.617744,16.122026,14.178003,11.615869,8.850143,9.896544,7.923366,10.409551
FBgn0000043,204.1856,218.3027,224.0052,265.6775,245.3094,239.546,285.9521,244.2846,241.5923,264.2478,288.2277
FBgn0000045,256.21747,132.77994,68.62974,56.37274,58.96639,68.16125,57.05432,53.9766,46.11649,47.08568,50.19857
FBgn0000046,184.03661,155.98487,149.14689,129.61651,117.02925,123.60876,120.28368,123.10546,108.65587,93.30155,108.64355
FBgn0000047,130.28314,38.17865,25.03995,30.37975,48.04964,101.51838,81.70897,92.44117,59.54656,58.77759,50.13905
FBgn0000052,206.2612,187.5812,149.8042,162.3561,143.1763,143.728,160.6041,180.8535,187.0654,211.3933,239.0151
FBgn0000053,211.6466,183.0438,154.2082,157.3649,135.7281,143.9594,156.6142,181.7597,215.3622,256.6342,268.9628
FBgn0000055,17.48667,17.29663,17.87413,16.3506,13.95406,13.64564,11.59777,12.65365,12.5628,10.40056,12.03359
FBgn0000061,0.740952,0.360342,0.513866,0.536713,0.726579,0.615927,1.043727,0.824798,0.949535,0.905858,0.651894
FBgn0000064,1597.5335,1334.4331,1029.9582,908.3025,1001.5279,1032.0546,809.0094,780.3133,714.2557,703.3214,708.8699
FBgn0000083,256.2834,231.0854,228.9234,235.8921,240.4027,260.2113,287.2277,304.7017,283.118,314.6279,325.0062
FBgn0000116,2127.3381,1506.7892,1213.8723,1116.9071,1009.9773,996.7463,873.1005,841.2485,807.9315,761.0814,769.7179
FBgn0000120,1891.016,1994.4266,1832.8409,1717.9439,1575.4934,1490.8852,1378.3537,1229.2036,1153.2964,861.5558,786.8573
FBgn0000153,89.70928,64.35369,37.5941,38.44772,38.24708,41.74485,37.92281,42.59247,27.74539,28.06052,25.6219
FBgn0000163,151.4029,146.7329,159.0882,147.9797,171.534,174.1065,173.5826,171.2411,165.7628,168.8154,194.555
FBgn0000180,11.030844,10.310014,9.800176,7.995633,9.054185,9.545715,7.458313,7.370758,7.334173,7.397613,7.054366
FBgn0000206,46.9529,40.85135,36.7028,33.51709,33.02718,32.82265,31.00965,28.74447,27.05421,25.52317,29.84072
FBgn0000229,77.97767,75.93483,85.28067,74.26701,81.6454,78.70851,71.75832,64.27504,57.85517,56.5032,63.34373
FBgn0000241,8.224217,7.614002,8.070769,9.431714,8.575799,9.79559,12.298781,16.212909,16.8315,17.772016,16.856107
FBgn0000244,101.9281,101.66811,106.0935,102.6895,106.17325,110.61214,98.6859,96.31619,83.5865,88.62453,94.17881
FBgn0000276,14.96078,20.37542,24.27585,27.27407,37.63509,46.03258,81.04177,86.34355,146.82209,100.41605,101.68589
FBgn0000277,7.976201,7.58179,6.393259,9.853816,14.527962,21.214651,44.227153,60.970585,90.570166,58.3284,55.244689
FBgn0000278,0.505666,0.560417,0.254667,0.405078,0.815767,1.295117,2.872427,3.120463,5.341154,3.01778,2.667578
FBgn0000279,3.415413,3.438289,2.117548,3.842922,4.846914,7.690281,17.800358,18.889874,29.754002,20.704202,24.26859
FBgn0000281,0.289933,0.221607,0.111776,0.261043,0.276385,0.207678,1.961772,0.598809,0.980082,0.582941,0.85199
FBgn0000299,307.4985,217.6511,179.6029,175.639,151.2567,155.2391,153.2861,169.122,177.3812,175.4792,156.4511
FBgn0000303,28.17798,25.69518,26.82381,20.78844,24.75892,22.49864,15.28163,13.93468,14.23929,10.56273,13.68472
FBgn0000326,24.78647,21.59608,21.35271,22.38209,18.38583,17.3415,17.25322,17.6599,17.00213,17.60569,17.62366
FBgn0000330,29.73045,24.68171,23.01833,24.49654,21.67442,22.1526,21.6958,21.00311,22.18425,20.16227,20.55604
FBgn0000346,127.75393,122.27972,118.01737,98.7444,106.74585,93.60519,77.44266,71.66902,67.15094,57.98943,68.77214
FBgn0000395,26.64359,25.17214,28.02413,26.82468,31.46183,33.76379,35.89145,34.99119,35.19669,40.95182,47.05801
FBgn0000427,240.34567,361.96716,409.49886,300.78509,285.18662,260.7142,240.61261,203.22335,187.74908,112.06983,75.39373
FBgn0000448,4.862055,3.42912,4.497191,3.44723,3.884318,3.188375,2.961642,2.386959,3.113026,2.879733,3.674442
FBgn0000473,119.71714,121.90561,103.48244,106.32643,76.50263,74.94689,72.37169,78.48292,63.56059,64.31119,66.78927
FBgn0000529,3.364101,3.333084,2.970883,2.866536,2.939048,2.774185,2.218722,2.242554,2.182303,1.9896,2.16517
FBgn0000536,168.0926,171.5924,187.4236,165.8414,165.2943,170.976,158.6195,148.1691,129.9823,128.4786,133.4673
FBgn0000542,16.013136,12.4864,11.794746,11.268283,11.565772,10.768379,10.545554,10.651927,9.909415,9.833679,9.683534
FBgn0000565,245.625,547.30722,456.78793,445.22269,302.86081,241.52203,189.89479,150.87449,121.56059,93.54583,63.54417
FBgn0000578,68.80185,71.81904,75.0013,69.29048,70.03624,73.70344,70.37104,74.51092,68.95071,77.03824,89.88876
FBgn0000579,1215.5921,912.9825,764.9891,731.3273,649.8249,661.5302,644.7855,668.1894,686.7964,686.7966,660.0743
FBgn0000636,62.41336,58.51775,62.5658,59.364,71.94223,74.43511,78.1737,69.83901,70.31215,77.54426,90.92674
FBgn0000658,4.775631,3.666317,3.428909,2.805966,2.71585,2.700846,2.162911,2.490963,2.549419,2.635724,2.683583
FBgn0000667,190.89304,141.88158,119.41633,101.09842,115.21563,128.03911,110.28908,100.46291,91.1409,91.38212,100.41169
FBgn0001083,10.471347,7.719366,7.125036,6.775435,6.534434,6.108675,5.495009,4.904268,4.171631,4.017587,4.113722
FBgn0001091,1496.992,793.2342,507.8692,469.7927,390.3631,390.2103,371.9091,388.3819,389.3175,384.1003,343.1285
FBgn0001092,1143.4687,859.1924,802.2651,765.3032,668.007,712.0735,731.4804,754.5994,755.9703,787.4615,763.841
FBgn0001098,236.8816,202.6526,181.2994,176.7985,166.6167,163.8649,142.8878,148.9105,152.3058,141.2151,151.4533
FBgn0001125,345.014,274.617,231.0055,226.1976,200.8104,212.1009,230.4701,269.5475,300.5191,338.1934,331.5009
FBgn0001128,478.6108,377.5413,332.7635,292.6967,242.082,249.087,217.0733,215.8922,181.0658,178.845,174.1277
FBgn0001134,5.727014,5.022974,5.614502,4.820729,5.498893,4.792631,4.356942,3.902434,4.371597,3.694229,4.764879
FBgn0001145,613.7897,578.9004,528.7106,513.9197,467.9234,493.7454,439.3805,462.1938,388.4995,384.4573,377.6498
FBgn0001216,91.21388,76.46883,61.33618,63.24413,63.96995,51.49181,47.62897,40.4793,35.51333,26.9704,31.41457
FBgn0001247,100.27354,101.16282,104.77715,103.23731,95.97295,95.35641,90.86777,88.75764,83.03685,82.99141,91.6381
FBgn0001248,734.0336,726.4857,662.3012,694.2729,552.465,566.1193,558.7235,590.6745,547.03,540.6239,537.0789
FBgn0001258,37.46947,29.68997,35.00272,33.90229,33.95485,37.8106,46.9191,47.7219,53.18952,66.01204,72.07047
FBgn0001263,167.1987,169.1566,179.255,152.0679,157.2702,151.2574,125.4114,112.3515,116.2871,96.6254,113.4971
FBgn0001285,65.819208,46.950909,27.366605,22.568663,11.416326,10.441701,8.591289,7.859566,10.362106,9.600899,9.765467
FBgn0001296,65.52173,47.13538,44.15433,44.70022,40.83169,39.81151,37.00744,34.96973,32.58484,33.76971,33.22002
FBgn0001404,90.63624,99.1664,124.43963,104.7601,122.44188,132.14106,118.34053,105.63095,103.05285,105.93051,116.69558
FBgn0001624,214.8056,212.7065,238.2217,217.1808,260.2867,277.7147,285.8894,313.8067,292.6212,324.5025,373.727
FBgn0001941,104.3324,110.8044,121.6732,119.8923,118.2852,123.2249,131.5377,123.4355,118.4416,132.1475,144.3454
FBgn0001981,4.428179,4.445289,6.000318,6.15723,7.900589,7.510555,9.642686,7.225883,6.003532,7.068838,7.997761
FBgn0001987,58.4161,53.49223,58.47353,61.67152,60.64726,60.41283,65.97658,65.3013,61.74952,71.40471,74.67921
FBgn0001989,118.05322,98.81749,78.48746,78.76792,65.34301,63.53632,58.18208,58.73382,59.46803,55.32586,50.39283
FBgn0001992,2.655856,2.302079,3.049164,2.369271,3.029035,2.449956,2.258518,1.842415,1.833041,1.621619,1.914354
FBgn0002021,37.09978,34.5453,32.07758,33.56113,28.88985,29.1303,29.74041,27.90107,27.42268,28.33647,25.99835
FBgn0002306,34.49269,34.26789,35.3176,33.82225,35.34335,34.669,32.50684,34.23229,28.87944,27.33692,30.26871
FBgn0002562,1.021102,0.91765,0.989215,0.945217,1.17425,1.702216,1.808538,4.565524,3.637852,4.195597,7.200488
FBgn0002564,6.02072,2.845488,2.042947,1.613001,2.185245,1.763466,2.198803,2.062909,2.007908,2.001548,2.29055
FBgn0002567,121.68371,123.68444,115.47869,106.83045,100.6121,101.78631,97.97529,90.92909,91.73242,86.11844,96.90959
FBgn0002570,543.3286,336.603,436.8275,608.7703,536.2199,721.5971,644.5737,833.3706,870.7274,987.1981,1006.0533
FBgn0002576,5.449015,5.924999,6.533047,6.853763,8.104575,7.616548,6.922844,7.508414,8.277141,8.881111,9.619568
FBgn0002592,1.535755,0.971783,1.016436,0.779642,0.792455,0.812146,0.778073,0.956881,0.945645,0.82468,0.903168
FBgn0002609,4.087325,4.234854,4.45217,4.304417,4.705185,4.269341,4.00122,3.629518,3.878806,4.523659,4.341072
FBgn0002645,177.7763,193.5357,222.4265,200.3468,242.5836,258.7396,253.3717,237.128,242.7628,247.1408,282.767
FBgn0002719,729.3818,637.5694,641.7579,570.0012,516.2716,567.3011,503.3762,573.1358,539.1614,565.379,578.5751
FBgn0002732,0.334399,0.456329,0.577216,0.504937,0.801128,0.785614,0.756574,0.623189,0.612702,0.845443,1.072861
FBgn0002772,299.3818,213.1598,170.3176,127.1584,144.7857,164.3443,135.2704,124.3816,105.0114,96.7119,110.8531
FBgn0002773,1311.5581,751.5698,612.8707,529.7388,573.9697,670.8895,639.6577,628.802,544.8929,566.6946,585.4936
FBgn0002774,51.95393,56.41815,57.82011,58.09307,63.91434,67.18088,76.86457,84.76081,73.63705,92.72505,101.07214
FBgn0002778,46.65109,55.65486,55.34111,49.99238,52.5475,53.99338,45.1658,41.09593,40.77301,39.64102,41.22896
FBgn0002789,155.8768,137.9395,135.3004,111.0048,112.4109,134.6667,124.5901,118.7196,112.5247,109.7445,120.4074
FBgn0002891,23.06624,25.3882,30.06546,29.13976,30.73847,32.32982,29.74986,29.16052,33.36039,34.09866,39.9063
FBgn0002921,1099.2398,924.5961,903.8424,771.2431,746.4949,748.4575,689.2923,673.0854,625.2065,616.8034,624.9048
FBgn0002926,32.68654,41.27516,44.78976,32.67534,34.34593,30.73899,30.23388,21.46281,25.93594,17.74037,13.016
FBgn0002931,12.231922,14.661811,15.516279,14.334237,15.59063,14.620441,13.528405,11.275236,8.875298,9.317934,10.028045
FBgn0002938,948.4568,863.2415,814.8793,666.5086,684.1926,656.3319,578.7567,483.317,471.1804,438.5231,534.7453
FBgn0002939,58.94346,62.75034,51.14664,43.82496,30.331,29.16912,21.86926,26.05807,18.91608,15.31702,13.1043
FBgn0002940,6853.791,7090.804,8728.579,8431.743,7921.318,7255.518,5931.585,6237.251,5765.495,4658.459,4699.791
FBgn0002985,9.667291,10.870273,11.805868,11.817887,10.893408,11.859392,10.077967,8.484258,7.146015,6.947845,7.535903
FBgn0003060,0.498758,0.29699,0.475036,0.698084,1.054787,1.175443,1.263153,1.365416,1.712296,1.574205,1.706426
FBgn0003071,353.4994,256.7499,227.2107,206.6553,195.9952,172.7337,178.0542,196.2647,189.1205,171.9322,182.4913
FBgn0003074,631.7489,534.084,446.3321,465.323,418.2808,433.7813,416.8309,470.6412,451.6648,462.2303,457.8003
FBgn0003076,612.5795,364.4982,312.3042,324.0905,247.9057,254.3669,248.079,299.4891,314.5388,359.5975,303.8801
FBgn0003129,4.224605,3.369761,3.587212,3.847179,4.781628,4.372581,4.558499,4.607038,4.274743,4.542055,5.372294
FBgn0003149,300.24875,190.23527,146.30331,110.60221,132.76905,144.61227,128.25645,118.044,96.29401,95.85925,109.38265
FBgn0003162,94.13725,70.21752,61.05785,52.45551,53.94309,53.44132,54.40403,60.00775,58.63743,53.06679,56.01399
FBgn0003204,136.35814,113.5853,110.60607,106.77608,97.92725,99.83394,97.01059,94.93005,95.66684,94.87014,92.02456
FBgn0003209,77.3225,77.1211,95.46538,87.75647,95.5084,98.90477,90.6628,90.64304,80.95978,85.90847,101.01411
FBgn0003231,333.9384,416.4925,436.9844,453.5726,442.0364,480.2537,436.3578,407.9805,351.5722,362.7216,394.9454
FBgn0003249,127.6118,138.9973,171.7767,187.4446,208.5823,223.5546,188.1305,181.302,211.915,162.7765,177.5472
FBgn0003261,430.0694,409.2816,440.3848,411.6046,430.6085,444.6344,426.0479,376.5195,376.7465,410.9175,429.8871
FBgn0003295,2.004405,1.757131,1.499276,1.738914,1.556262,1.68235,1.249505,1.336344,1.671317,1.353739,1.738656
FBgn0003328,100.43369,90.06456,106.18401,116.63775,124.09258,124.54327,154.68646,143.10779,136.77644,170.50797,192.99962
FBgn0003356,1461.55218,981.11121,722.82401,693.81741,306.9704,285.75833,192.05008,176.5124,142.01391,98.35112,85.66931
FBgn0003357,1167.59914,755.92919,525.07594,496.61292,234.66411,235.54736,163.60653,161.02815,143.95143,107.75349,94.13618
FBgn0003360,3033.174,2286.673,2067.124,1656.005,1568.611,1581.352,1338.126,1245.086,1194.438,1098.092,1068.734
FBgn0003388,7.993142,9.01036,8.476046,9.65018,8.662495,7.286344,6.70764,5.2829,5.534635,4.369167,4.659511
FBgn0003392,240.6149,226.6719,242.418,209.3714,233.4719,221.7037,185.5082,174.6623,165.3638,153.794,178.9334
FBgn0003423,250.2407,234.7273,234.2061,206.6389,217.6919,201.1967,173.6635,159.3292,152.3803,138.6728,153.3509
FBgn0003462,668.2157,480.9521,453.0091,436.088,340.7932,361.1369,321.1375,345.2285,334.9828,356.2228,312.6603
FBgn0003486,2.433147,3.828354,3.367428,2.775606,3.20364,3.069954,2.930124,1.891364,2.54966,1.799428,1.994428
FBgn0003495,31.42667,35.12352,38.26825,34.93467,41.90211,42.92096,41.41479,39.99785,38.0263,42.88651,50.97705
FBgn0003499,14.997541,15.352299,19.501557,14.628763,18.203517,18.550504,13.286366,11.958424,11.556204,9.600206,11.34828
FBgn0003514,101.6537,103.3979,111.6263,118.8485,115.1345,131.0601,138.8825,133.6418,125.0587,140.6065,150.6106
FBgn0003651,54.28465,54.49551,58.76888,54.59831,52.64856,55.67937,50.63011,47.70414,43.00872,43.40165,43.14363
FBgn0003656,177.3031,164.6621,187.2488,174.2789,170.9555,162.9272,154.8207,151.3461,143.843,129.4681,146.0144
FBgn0003719,3.064266,2.597405,2.458743,2.282649,3.102322,2.845249,2.912697,3.219212,4.416142,4.37952,6.486247
FBgn0003721,537.8063,372.864,350.5249,302.1295,332.0355,353.7436,338.2909,302.194,306.3645,321.6038,332.0033
FBgn0003863,3272.6685,2720.5088,2377.6142,2433.9146,1451.4311,1341.5857,1063.0894,1034.8603,1039.317,1072.5134,910.6667
FBgn0003888,62.55299,55.07581,55.44038,76.15602,70.66214,72.37323,97.93249,93.58512,97.71365,115.19988,113.24015
FBgn0003890,103.44119,81.71078,74.26444,71.65743,61.49943,62.39537,58.86267,63.40887,65.99727,65.70174,61.87306
FBgn0003936,0.368379,0.233614,0.275709,0.285858,0.37132,0.271915,0.346815,0.792243,0.600306,0.596231,0.732366
FBgn0003961,34.48062,42.92991,44.99539,60.81019,82.68641,79.93265,99.33611,95.39946,71.263,76.29344,91.62099
FBgn0003979,73.09898,80.82815,63.87814,56.10562,42.79753,40.72639,48.07997,39.09249,31.5678,19.7462,13.29359
FBgn0003983,70.35011,93.57222,92.28465,82.6194,67.61407,65.06679,61.92836,53.47782,38.56826,24.48356,16.92237
FBgn0003996,18.09152,16.79897,16.29828,18.73219,15.97426,15.33561,17.36233,18.09775,18.049,17.42042,20.11895
FBgn0004045,4296.36,4843.508,5058.321,5195.915,3731.719,3906.625,3148.866,3329.038,2893.492,2165.133,1978.563
FBgn0004047,9987.197,10213,10201,10202,6852.06,7158.664,5335.559,5894.889,4631.847,3151.113,2389.174
FBgn0004055,91.5005,93.27403,93.57189,85.28983,92.16661,89.50621,84.20664,81.37655,65.89386,68.27725,74.99391
FBgn0004117,262.8106,202.6691,187.3688,136.9072,165.6564,181.9802,163.0077,147.3176,130.1797,124.6702,144.7468
FBgn0004118,15.90578,15.035965,15.587706,12.172619,12.525846,11.36347,9.574421,8.573867,8.816575,8.359772,10.674879
FBgn0004179,118.95725,125.21756,133.24215,115.69195,128.47336,130.94418,113.09666,100.44338,94.49966,97.79435,109.70384
FBgn0004181,1018.5938,2585.7271,1433.256,2325.7119,920.3691,158.3837,478.9753,392.9813,254.8851,201.7023,125.1733
FBgn0004190,3.628814,3.832223,4.097479,6.403145,5.253016,6.761364,7.245673,10.624253,8.898572,10.83513,10.145594
FBgn0004228,31.33879,34.72345,37.97115,36.34411,39.03232,34.54367,34.52568,28.91019,24.63551,27.4733,28.35537
FBgn0004240,68.1081,54.54404,70.65693,126.82857,144.15806,267.78742,613.23894,522.01386,940.57721,930.72655,1086.51261
FBgn0004363,941.7833,838.5892,798.5541,712.0321,653.7708,657.2342,622.2087,566.4576,574.8089,561.7836,524.6997
FBgn0004425,423.11582,426.72676,417.57107,317.26958,174.68722,148.78225,134.81605,86.3025,72.5927,58.03978,45.18523
FBgn0004427,862.0674,795.1853,765.3312,605.912,312.5165,299.8692,253.4092,185.6457,174.7526,126.8107,105.4945
FBgn0004429,28.05135,34.32946,36.7894,36.84751,25.69417,23.00682,19.51534,17.90792,14.66661,16.2067,16.63873
FBgn0004431,1.850809,2.10361,6.146636,8.261434,8.390302,7.707182,11.822113,11.538583,10.680893,11.789696,15.06687
FBgn0004507,638.4716,438.7437,378.0673,311.4522,296.679,324.4783,280.4475,306.0301,286.2711,278.5592,283.2301
FBgn0004514,6.834231,6.706807,7.54527,5.826779,7.215839,6.813607,6.017721,5.124329,5.552534,5.058324,6.386774
FBgn0004516,145.34411,132.77436,123.76835,90.20807,106.62304,99.63816,67.02274,51.91777,50.19958,44.53986,55.13883
FBgn0004554,0.480691,0.150015,0.235475,0.156063,0.266599,0.144839,0.414589,0.365244,0.307692,0.390336,0.536282
FBgn0004569,19.83925,18.64736,17.00796,15.10112,16.97435,16.86062,15.82434,15.38618,14.22578,14.60561,17.39349
FBgn0004574,164.8992,157.6661,155.5264,146.1288,150.4961,152.7905,140.1878,131.3153,124.464,123.2682,132.6857
FBgn0004580,104.3828,87.82157,90.72541,65.28385,79.25354,74.65898,56.5835,49.9772,45.81394,40.33221,51.83216
FBgn0004595,348.6975,334.5603,426.4732,291.3239,289.3649,257.044,189.3285,165.7303,177.8896,123.2667,165.614
FBgn0004620,9.033936,8.571959,8.303168,8.80454,9.18311,10.08778,9.885571,9.748547,9.84034,8.561613,9.726539
FBgn0004623,257.152,247.2672,206.0318,183.1263,156.277,144.5247,135.7854,130.0217,129.5346,110.3337,109.9975
FBgn0004644,6.605291,6.630342,7.483194,7.886168,9.363606,8.970992,13.200903,11.828026,12.975735,12.605822,16.875626
FBgn0004646,84.1142,82.76526,81.58473,77.16269,75.97928,79.65771,71.3966,72.49615,69.14127,67.64853,68.24296
FBgn0004648,219.7065,219.185,228.978,207.7713,226.3483,234.8576,202.8288,194.0709,186.8813,194.3355,204.9801
FBgn0004654,331.9613,219.7952,177.8222,188.6282,141.7736,146.7857,137.1864,153.7712,146.9397,153.0052,137.2619
FBgn0004657,115.7089,111.6938,130.8027,116.2683,136.3334,150.6956,152.8935,131.7922,128.7216,148.2106,164.8976
FBgn0004784,251.2177,264.4462,229.054,192.554,183.4043,174.1103,171.7479,153.0346,136.684,136.1468,159.9318
FBgn0004852,69.09321,62.50211,59.18352,54.82228,57.49287,57.96899,52.21207,49.10321,46.95458,44.62454,46.90228
FBgn0004888,385.7898,298.16,278.7263,264.1129,235.1539,245.8059,234.7473,245.3761,240.6395,265.0016,231.2239
FBgn0004896,4.194843,4.57074,4.245046,3.743894,4.229412,3.986355,2.882285,2.6138,2.959451,2.453941,2.763071
FBgn0004914,124.3201,134.5259,143.5881,127.8938,136.5399,143.5542,123.6003,117.2235,102.0756,102.8029,111.5231
FBgn0004919,86.83706,85.62319,91.87811,73.5903,81.86766,78.82737,69.56303,63.99936,56.91843,56.02446,67.06326
FBgn0004921,551.5229,508.9748,552.47,473.1045,492.2795,494.5534,419.8733,404.6403,359.3545,357.1643,415.2476
FBgn0005278,536.5881,752.1606,675.4843,655.6629,598.4901,589.7865,521.9775,469.3988,438.0444,440.9591,441.5399
FBgn0005391,10452,11151,11138,10979,7803.768,7918.542,5937.521,6408.102,5138.721,3152.453,2659.174
FBgn0005564,39.42249,34.27134,39.45291,29.27326,36.09506,32.26055,24.82615,20.11354,20.55965,19.30435,23.50659
FBgn0005613,3.860829,3.380348,4.326805,4.345692,4.809133,6.000952,5.633427,5.56106,6.027886,6.144394,7.22062
FBgn0005614,396.0867,402.4583,349.9526,287.3582,319.685,305.036,237.9133,190.3645,181.5165,144.8691,162.4111
FBgn0005619,18.126687,16.273197,15.465224,13.237169,13.208545,12.346123,10.364901,9.163015,9.94506,9.704497,10.700524
FBgn0005626,122.43019,108.74735,62.31454,41.22198,50.75032,50.21396,53.4848,57.61877,55.6318,56.49562,64.95741
FBgn0005633,1.714523,1.213471,0.703858,0.803048,0.587267,0.62366,0.564127,0.646222,0.517227,0.477818,0.542949
FBgn0005658,15.0391,15.13229,21.23108,20.86844,23.01493,27.9305,22.79476,23.08246,23.21545,26.98116,32.89082
FBgn0005660,2.995579,2.509557,3.939317,3.113454,3.957915,4.567429,6.148054,5.922441,6.157325,7.886403,10.046323
FBgn0005664,11.70219,13.048185,9.374088,10.552117,12.790412,11.344587,10.265039,10.179937,7.581228,9.572114,9.691352
FBgn0005671,551.15,513.3884,511.965,527.4931,447.142,452.1466,420.0257,400.6872,388.9045,389.9129,408.2148
FBgn0010014,29.51935,28.16976,28.78248,24.01316,24.5109,23.6521,18.06687,16.94109,14.72878,13.26524,16.78305
FBgn0010019,10263,11355,12206,11087,10358,11502,7791.288,7937.865,5391.855,5717.393,6221.984
FBgn0010038,40.4721,43.26883,44.13115,43.76415,38.45999,40.48827,43.87353,52.26645,44.82023,59.23029,67.12539
FBgn0010039,43.39472,40.39295,31.48767,33.84835,31.09616,31.96711,41.53316,38.74378,45.83417,50.38287,51.82084
FBgn0010041,8.945802,10.882059,8.637193,8.726017,10.079237,14.362289,24.572393,21.626512,30.229116,34.856638,41.547969
FBgn0010042,0.584532,0.380605,0.482521,0.589374,0.900103,0.828693,0.951105,0.746233,0.754911,1.261448,1.279628
FBgn0010044,3.213212,2.916045,3.272852,4.477981,4.207267,3.987056,5.405641,4.597402,5.459721,6.699178,6.785806
FBgn0010052,12.825546,11.31095,9.495441,9.399369,7.146339,7.67077,7.218177,7.15269,5.595271,4.413036,4.506406
FBgn0010053,164.25793,178.35311,157.49827,154.57582,107.90981,107.84229,96.77049,99.48097,87.04741,99.53827,90.79229
FBgn0010100,1074.5871,945.2186,721.3114,692.3143,618.0561,585.1743,471.1327,449.0058,417.5306,387.7414,388.955
FBgn0010105,14.46651,14.52799,17.36838,15.0496,16.47127,17.45257,12.55583,11.86921,11.60095,11.01914,12.40116
FBgn0010113,48.79877,47.23556,56.60726,51.52214,60.28504,62.10807,63.53996,63.02527,68.89682,73.63894,85.80497
FBgn0010173,121.8228,118.216,134.8742,133.8074,132.0704,144.9547,147.7069,138.854,140.7527,147.3853,160.7135
FBgn0010213,130.18921,118.00108,99.46455,97.27294,82.35751,88.60701,82.81866,79.87729,81.4309,77.91341,71.49826
FBgn0010217,2556.4375,1966.0105,1535.1422,1504.168,1358.5993,1302.7625,1219.6242,1130.3514,1045.5607,1014.4075,964.6877
FBgn0010222,39.99621,33.34862,26.68324,26.13541,25.20499,24.92239,32.64676,34.81207,47.99983,49.66594,54.56282
FBgn0010223,15.81794,16.96125,20.51278,19.30735,17.55486,18.81429,15.95045,16.46542,13.76273,13.07081,15.25241
FBgn0010235,83.14243,87.67346,94.23403,94.98363,92.52738,100.00622,93.55349,87.06248,82.93399,81.11024,90.65614
FBgn0010238,51.92855,45.51714,45.55075,46.35218,46.71259,52.7077,57.49509,62.95299,59.94523,69.86858,72.82239
FBgn0010240,10.410788,10.897778,9.537628,8.07065,9.085057,8.5191,6.561785,5.459693,5.561685,5.000874,5.819877
FBgn0010241,52.45657,51.22156,42.49399,45.95504,34.25291,30.34648,25.97723,26.02941,21.89451,20.93068,19.31281
FBgn0010246,180.8829,176.7861,221.6716,252.5471,216.6844,194.5004,199.3531,166.2674,159.9464,164.326,168.6409
FBgn0010278,58.2901,65.77435,72.73496,72.3393,73.68789,79.82757,77.87971,74.67938,77.609,79.50092,88.84294
FBgn0010292,45.01562,39.19329,39.1952,37.88791,38.52732,38.45901,36.0668,32.08567,33.20345,34.73852,35.37007
FBgn0010340,9.54208,10.462743,10.623183,10.820377,9.975738,9.859391,9.384828,9.031223,8.333085,7.883312,9.154432
FBgn0010350,247.4386,248.2358,237.6121,217.114,208.1805,201.6337,179.7926,167.6273,144.3445,140.3637,167.371
FBgn0010352,860.7387,784.1805,674.438,630.1574,617.3962,585.5547,452.4654,410.6919,363.29,356.1377,359.7091
FBgn0010357,1649.7483,1625.8795,1523.0519,1622.8842,991.0535,948.907,706.1046,670.6645,591.9263,544.6331,453.961
FBgn0010358,7.148686,9.049499,9.752788,10.29271,9.207534,6.321764,4.670519,3.332347,2.641928,2.4811,1.646407
FBgn0010385,15.239002,8.982353,7.021177,5.54722,9.49012,17.28366,29.773818,43.779024,68.358562,71.229135,82.606386
FBgn0010387,212.4085,238.8705,252.9464,231.3286,185.7064,196.4106,165.3578,152.0627,141.9534,129.5808,124.8502
FBgn0010388,28.78967,35.27094,34.90805,88.67032,74.70904,126.49339,262.99558,296.167,421.53966,338.24672,337.17376
FBgn0010389,31.42199,28.85458,26.71297,26.35614,27.24268,27.05855,24.36462,23.56387,18.30538,20.80589,20.53176
FBgn0010395,21.14423,21.04296,27.45454,27.37647,33.27819,38.2222,43.51759,37.69412,32.63042,43.66124,50.99881
FBgn0010401,59.46749,56.42963,54.46342,52.37406,46.33888,41.99244,40.44304,36.33949,40.67578,26.24317,26.85471
FBgn0010407,8.0118,7.834793,7.87355,7.905928,7.475513,6.967859,6.791227,6.517686,5.070447,5.570809,6.438156
FBgn0010423,10.213197,6.491348,6.08698,4.394282,3.270751,3.505224,2.562398,2.559605,2.625743,2.069248,2.126449
FBgn0010425,621.20206,573.25938,401.33299,413.13685,237.98845,203.00347,148.11562,118.38358,86.54056,74.06668,57.27142
FBgn0010434,208.7071,191.2946,203.6875,202.037,222.1203,239.2501,233.3343,228.9154,220.6077,233.7485,257.3652
FBgn0010497,128.77293,149.92276,151.53185,165.26599,128.0105,108.38884,98.71353,81.41942,70.9758,66.24851,59.43382
FBgn0010516,257.9822,215.784,197.9223,211.5287,165.3008,178.6915,164.1215,183.6976,173.8678,185.9453,161.9277
FBgn0010548,227.0951,243.1591,244.2734,225.5954,195.5621,197.1783,167.2022,170.0879,150.3876,140.2659,141.345
FBgn0010591,73.18112,78.32762,76.9265,77.16804,67.64842,66.6059,62.82257,60.73887,61.19392,59.14809,57.02523
FBgn0010612,371.7944,270.8229,210.4819,203.4813,160.0238,157.6244,147.9226,147.6874,150.8423,137.8072,120.3652
