Genes,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
FBgn0085209,5.142299,3.821993,2.672826,2.60728,2.00613,2.094808,2.088683,2.224862,1.920318,2.184838,1.994677
FBgn0085223,1.903491,1.935231,2.627733,2.978674,3.091855,2.49982,2.535454,2.267059,1.901275,2.045127,2.178513
FBgn0085227,3.05635,3.337918,5.07587,5.874139,6.050336,5.819769,7.489086,7.192706,6.710186,7.982492,9.939389
FBgn0085237,11.306236,12.100152,11.761393,9.318036,8.062262,7.265898,6.236695,6.392911,6.324059,5.686471,5.91204
FBgn0085241,99.63829,120.29285,143.75347,147.60678,91.64746,102.73844,62.98606,64.25718,64.51278,66.13483,64.76943
FBgn0085243,1.379901,1.164167,1.029155,0.780978,0.626142,0.760791,0.707398,0.719726,0.467172,0.579044,0.719809
FBgn0085244,13.32269,19.10667,25.09337,28.80505,28.09394,40.02462,50.23054,58.71321,65.7276,63.99965,66.92424
FBgn0085246,1.247148,1.664414,1.087682,0.858816,0.667479,0.434169,0.306516,0.325179,0.386541,0.442002,0.345373
FBgn0085249,204.51239,159.60836,193.83651,171.84123,127.42896,140.27789,109.36757,94.21698,106.22694,79.85497,63.86747
FBgn0085256,3.185812,4.461785,4.921607,11.092586,12.667314,16.715841,34.968009,43.768975,52.108863,56.50685,56.982407
FBgn0085261,10.58248,14.20037,23.83319,18.49863,19.16148,19.84286,17.64621,12.01009,10.9749,12.7897,14.38578
FBgn0085265,3.505675,4.088794,5.879809,7.000149,7.620531,7.34926,6.843308,5.622963,5.03738,6.931047,7.288833
FBgn0085271,15.984481,13.263359,12.678993,12.362944,10.807171,10.727921,10.441457,9.97572,9.877282,11.383887,10.358716
FBgn0085280,0.81473,0.502771,0.720437,0.444291,0.847465,0.542912,0.549761,0.718921,0.657968,0.568092,0.467589
FBgn0085294,0.695347,0.35646,0.569792,0.324965,0.536647,0.462438,0.550989,0.903221,0.889865,0.692964,1.211729
FBgn0085317,6.097764,6.170897,7.441672,7.204608,6.890754,6.130064,6.691133,5.860732,4.156407,4.717348,5.189538
FBgn0085330,8.253673,7.027503,7.268061,6.670127,4.7467,4.264608,4.554108,3.954321,3.714205,3.555821,3.311355
FBgn0085334,2.224261,1.564112,1.654187,1.01072,0.509708,0.551127,0.55631,0.531712,0.377395,0.532355,0.506189
FBgn0085350,1.416634,1.622594,1.675671,1.379774,1.378947,1.178953,0.949475,1.143899,1.138594,0.883544,0.999064
FBgn0085354,26.856,25.46967,26.42149,25.76858,27.14199,28.51989,32.53724,34.12109,35.29047,37.65789,43.77513
FBgn0085356,4.251674,2.011439,1.291583,0.52917,0.408841,0.308514,0.259964,0.288203,0.283783,0.265549,0.173082
FBgn0085358,101.17979,92.03991,128.32652,117.15954,105.74219,90.93149,67.783,64.93752,48.13096,30.86527,26.0365
FBgn0085359,74.27018,84.02221,89.99068,101.60374,94.97336,82.23443,82.30566,67.94752,65.01627,58.05121,51.81497
FBgn0085362,14.326057,22.345674,22.344343,16.439866,15.928083,14.417108,14.619974,13.546106,13.118181,7.868625,5.925574
FBgn0085380,22.16721,20.51668,22.45924,17.88208,21.7827,20.31392,14.57128,11.76967,12.21697,11.32949,14.4727
FBgn0085382,22.74511,21.06272,25.26942,19.5204,24.65814,23.82517,19.07515,18.97771,18.04756,20.75708,25.91683
FBgn0085399,27.38119,22.73045,25.29528,18.02666,22.86085,20.63981,16.96286,15.11836,16.91424,15.34232,18.02165
FBgn0085415,3.590398,4.9532,6.300068,5.649858,6.137988,6.228215,6.440205,4.846413,4.126143,4.112643,4.363296
FBgn0085421,73.35272,68.55908,75.00293,65.52935,70.95141,66.16336,54.39435,50.87908,48.01399,48.53223,54.49447
FBgn0085423,169.2604,175.3438,198.2266,184.3079,185.6719,206.482,205.8106,185.0644,191.8621,196.278,219.0001
FBgn0085424,18.6573,21.52763,27.5473,27.50382,32.4373,33.05081,29.84722,25.4416,23.09276,27.7328,29.69376
FBgn0085425,20.21748,16.39247,14.28446,13.26052,14.97011,15.23841,13.58329,12.81587,11.29745,11.30955,11.86917
FBgn0085433,26.41002,28.09016,28.67777,26.88332,29.99061,30.7396,23.57729,20.96146,21.92227,19.99583,23.07676
FBgn0085446,218.3977,200.5092,245.6889,210.524,246.472,283.9266,266.4226,260.0307,249.5415,265.5222,327.0404
FBgn0085452,4.838946,5.388548,8.789673,10.448511,15.099102,16.341921,15.255296,14.792776,12.54907,11.397481,10.184185
FBgn0085468,25.6912,22.33815,21.38753,21.34228,18.69841,16.25358,17.33477,15.47778,17.31369,13.9781,14.22948
FBgn0085474,4.277715,3.42621,2.462862,2.419186,1.990197,2.184756,2.213419,2.042761,2.8497,2.992911,2.510224
FBgn0085475,6.279479,3.400229,2.605715,2.085615,2.037382,2.255366,2.642826,1.900281,3.121573,3.51127,2.629955
FBgn0085489,19.363063,18.003731,13.315682,16.336137,14.048939,9.456792,13.811746,10.16495,12.018033,10.527441,11.003955
FBgn0085520,4.461171,4.68527,4.416655,3.727762,3.718684,5.073382,4.697868,5.664793,6.241221,7.364622,8.584666
FBgn0085582,0.371704,0.258898,0.448099,0.460836,0.551689,0.760381,0.560225,0.690307,0.668311,0.723952,0.645293
FBgn0085736,66.06914,40.92498,35.72577,32.68725,25.33418,23.63182,23.25987,23.01417,25.53595,24.67441,22.67857
FBgn0085753,1.956238,1.124693,1.046725,0.870234,3.273986,2.84221,3.51894,4.670153,3.434129,4.342544,1.848146
FBgn0085786,2.671097,1.882073,1.849076,2.103274,2.356074,2.006202,2.58886,2.500583,2.465958,2.683759,2.859284
FBgn0085792,0.53894,0.407879,0.39856,0.512554,0.51294,0.388114,0.575444,0.441096,0.479642,0.230345,0.512167
FBgn0086028,1.69811,0.815631,0.831909,0.577161,0.654476,0.668012,0.569975,0.68023,0.600791,0.534817,0.479971
FBgn0086032,0.272252,0.187739,0.493903,0.207008,0.48223,0.337457,0.332176,0.17189,0.219365,0.166882,0.215158
FBgn0086039,1.801575,1.420693,1.151135,1.082111,1.169538,1.04651,0.987563,0.878154,0.843092,0.747654,0.907726
FBgn0086082,0.660528,0.622865,0.521913,0.390023,0.52607,0.381479,0.356657,0.329041,0.298603,0.352927,0.342452
FBgn0086254,383.9342,342.4754,329.6551,278.3848,271.0332,270.4815,276.2395,298.4035,300.9311,313.187,304.4373
FBgn0086265,6.845249,10.761482,9.732263,8.179632,7.342666,6.625734,7.280817,7.320898,5.77944,3.837023,2.831295
FBgn0086346,168.4987,149.9338,146.922,164.8004,148.4792,150.4046,164.0093,169.8457,167.1344,186.2753,197.6709
FBgn0086347,73.64224,77.34793,89.77512,94.64593,97.01173,99.09675,109.06553,103.53536,98.49917,111.11035,127.26795
